txn_date,txn_description,deposit_amount
03/04/2018,ACH/HINDUSTAN ZINC LTD/03042018*050290            ,48
03/04/2018,ACH/COROMANDEL INTERNATI/2248445                  ,15
03/04/2018,ACH/NMDC LIMITED/0000005087707                    ,73
03/04/2018,ACH/Colgate-Palmolive (I/154751                   ,5
12/04/2018,ACH/SBI LIFE INSURANCE C/1312963                  ,4
17/04/2018,ACH/PRAXIS HOME RETAIL L/28628                    ,31.19
23/04/2018,ACH/CRISIL LIMITED/5019233                        ,10
08/05/2018,ACH/INDIABULLS HOUSING/3851044                    ,10
11/05/2018,ACH/CRISIL LIMITED/5119276                        ,12
11/05/2018,ACH/ABB INDIA LIMITED/2049685                     ,8.8
14/05/2018,ACH/Sanofi India Limited/18344                    ,53
16/05/2018,"ACH/KSB Pumps Limited,/11553                      ",18
17/05/2018,ACH/HCL TECHNOLOGIES LIM/000000000000000000000000 ,12
18/05/2018,ACH/Castrol India Limite/152601                   ,30
30/05/2018,ACH/GAIL (INDIA) LTD./000000000000000000000000110 ,221.91
30/05/2018,ACH/GODREJ CONSUMER PROD/57526                    ,7
01/06/2018,ACH/NESTLE INDIA LTD./000000000000000000000000059 ,43
01/06/2018,ACH/OIL INDIA LTD/5648249                         ,113.47
07/06/2018,ACH/Page Industries Limi/40051                    ,35
12/06/2018,ACH/MFL INTDIV Q1 FY1819/191094207                ,5
15/06/2018,ACH/ACCLTD/69238                                  ,30
15/06/2018,ACH/Colgate-Palmolive (I/153318                   ,22
19/06/2018,ACH/Ambuja Cements Limit/154584                   ,18
19/06/2018,ACH/TCS FIN DIV 190618/C200503904IN30267934786175 ,232
26/06/2018,CMS/INFOSYS/FINAL DIV 18 15308609                 ,335.5
26/06/2018,ACH/KANSAI FIN DIV2018/KN00038676IN30267934786175 ,13
27/06/2018,ACH/ASIANPAINTFINDIV18/AN00155328IN30267934786175 ,48.4
02/07/2018,ACH/HDFC BANK LTD/9389398  00324553               ,234
04/07/2018,ACH/HINDUSTAN UNILEVER L/15247276                 ,84
05/07/2018,ACH/TATACOFFEDIV050718/CO00083883IN30267934786175 ,22.5
06/07/2018,ACH/SUPREME INDUSTRIES L/SU2/FIN/2018/N27451      ,18
06/07/2018,ACH/RELIANCE INDUSTRIES/186004069                 ,90
06/07/2018,ACH/RALLISFINDIV060718/RA00052447IN30267934786175 ,25
07/07/2018,ACH/Nilkamal Limited/20592                        ,9
09/07/2018,ACH/TGBL DIV.09072018/TA00180490IN30267934786175  ,30
18/07/2018,ACH/BALKRISHNAINDUSTRIES/1729602                  ,3
19/07/2018,CMS/ICICI LOMBARD/FINAL DIV 2018                  ,10
19/07/2018,ACH/ULTRATECH CEMENT LTD/2032216                  ,31.5
20/07/2018,ACH/VIP Industries Limit/56507                    ,18
21/07/2018,ACH/KOTAK MAHINDRA BANK/3352092                   ,1
23/07/2018,CMS/ICICI PRU/FIN DIV17-18 3069251                ,19.8
23/07/2018,ACH/Zee Entertainment En/83127                    ,29
23/07/2018,ACH/TATASTEELDIVFP1718/TI00720984IN30267934786175 ,140
24/07/2018,ACH/BAJAJ FINSERV LIMITE/2678955                  ,2
24/07/2018,ACH/BAJAJ AUTO LIMITED/2676732                    ,120
24/07/2018,ACH/ABBOTT INDIA LIMITED/1220264                  ,55
24/07/2018,ACH/HAVELLS INDIA LIMITE/0000000000000000000000000,20
25/07/2018,CMS/TCS/1ST INTERIM DIV 25072018                  ,64
25/07/2018,ACH/CEAT DIV 250718/CY00067723IN30267934786175    ,23
26/07/2018,ACH/CROMPTON GREAVES/376876                       ,7
27/07/2018,ACH/JSW STEEL LIMITED/16497334                    ,32
27/07/2018,ACH/BHARTI INFRATEL LIMI/828758                   ,42
27/07/2018,ACH/TCL FINAL27072018/CH00168120IN30267934786175  ,88
27/07/2018,ACH/THE INDIAN HOTELS CO/0000000000000000000000000,22.4
30/07/2018,ACH/SKF ,24
30/07/2018,ACH/HERO MOTOCORP LTD./2986199                    ,80
30/07/2018,ACH/MAHINDRA & MAHINDRA/1444715                   ,12
30/07/2018,ACH/TPOWERFINDIV300718/PO00282175IN30267934786175 ,32.5
30/07/2018,ACH/Info-Edge India Limi/14418                    ,4.5
30/07/2018,ACH/SHOPPERS STOP LIMITE/1208516                  ,4
30/07/2018,ACH/GRINDWELL FINDIV18/GR00014289IN30267934786175 ,15
31/07/2018,ACH/HDFC FINAL DIV 2017-/0000000000000000000000001,132
31/07/2018,ACH/ITC LIMITED/403819                            ,206
31/07/2018,ACH/Piramal Enterprises/101652                    ,50
01/08/2018,ACH/DR. REDDY'S LABORATO/DRL/FIN/2018/088582      ,40
02/08/2018,ACH/V-Guard Industries L/56548                    ,2.8
02/08/2018,ACH/SHRIRAM TRANSPORT FI/STFCIN30267934786175     ,6
02/08/2018,ACH/TI FINANCIAL HOLDING/3416952                  ,2.6
02/08/2018,ACH/BATA INDIA LTD. 2018/BP56196                  ,16
02/08/2018,ACH/EIH Ltd./45336                                ,13.5
03/08/2018,CMS/BLUEDART/FINAL DIV 2017-18                    ,12.5
03/08/2018,ACH/EXIDE INDUSTRIES LIM/105374                   ,4
03/08/2018,ACH/EMAMI LTD/22976                               ,14
03/08/2018,ACH/APOLLO TYRES LTD/0069417                      ,27
03/08/2018,ACH/COROMANDEL INTERNATI/2348480                  ,17.5
03/08/2018,ACH/Mahindra Logistics L/52590                    ,3
03/08/2018,ACH/MAHINDRA HOLIDAYS &/925314                    ,24
04/08/2018,ACH/BSE LIMITED/2034457                           ,93
06/08/2018,ACH/UFLEX LIMITED/UF25071825500                   ,8
07/08/2018,ACH/CRISIL LIMITED/5219579                        ,12
07/08/2018,ACH/The New India Assura/86027                    ,10
08/08/2018,ACH/AVANTI FEEDS LIMITED/2061534                  ,36
08/08/2018,ACH/TTK PRESTIGE LIMITED/1820342                  ,30
08/08/2018,ACH/Tech Mahindra Limite/389233                   ,84
08/08/2018,ACH/BRITANNIA INDUSTRIES/1272839                  ,50
08/08/2018,ACH/MAHINDRA & MAHINDRA/10704224                  ,30
09/08/2018,"ACH/Blue Star Limited,/39625                      ",10
10/08/2018,ACH/WONDERLA HOLIDAYS LI/914089                   ,4.5
10/08/2018,ACH/TITAN FINDIV 17-18/WA00143847IN30267934786175 ,22.5
10/08/2018,ACH/CARBORUNDUM UNIVERSA/2519554                  ,5
13/08/2018,CMS/ADANI PORTS/EQUITY DIV 17-18                  ,12
13/08/2018,ACH/EVEREADY INDUSTRIES/28995                     ,9
13/08/2018,ACH/VST FIN DIV 2017-18/IN30267934786175          ,50
13/08/2018,ACH/Asahi India Glass Li/47677                    ,10.5
13/08/2018,ACH/Adani Enterprises Li/62638                    ,6.8
13/08/2018,ACH/BASFDIV130818/B900038528IN30267934786175      ,6
13/08/2018,ACH/Lupin Limited/288937                          ,30
13/08/2018,ACH/BHARTI AIRTEL LTD/5641674                     ,67.5
14/08/2018,ACH/TRENT 14082018/LA00040009IN30267934786175     ,8.05
14/08/2018,ACH/INTERGLOBE AVIATION/760596                    ,12
14/08/2018,"ACH/Sobha Limited,/49287                          ",42
14/08/2018,ACH/HCL TECHNOLOGIES LIM/0000000000000000000000001,14
14/08/2018,ACH/Sanofi India Limited/18995                    ,18
14/08/2018,ACH/GODREJ AGROVET LTD/190594                     ,9
16/08/2018,ACH/Johnson Controls-Hit/12385                    ,1.5
16/08/2018,ACH/Eicher Motors Limite/92874                    ,110
16/08/2018,ACH/EID PARRY (INDIA)/3038712                     ,18
16/08/2018,ACH/DABUR INDIA LIMITED/3810598                   ,44
16/08/2018,ACH/AKZO NOBEL INDIA LTD/28846                    ,44
16/08/2018,ACH/GODREJ INDUSTRIES LI/54613                    ,3.5
17/08/2018,ACH/GLAXO CONSUMER/2140018                        ,75
17/08/2018,"ACH/ICRA Limited,/12531                           ",30
17/08/2018,ACH/MRF LIMITED/1100000006907                     ,54
17/08/2018,ACH/TUBE INVESTMENTS OF/5217141                   ,3.5
18/08/2018,CMS/CADILA HEALTHCARE/FIN DIV17-18                ,17.5
20/08/2018,ACH/NCC LIMITED/1691376                           ,21
20/08/2018,ACH/BERGER PAINTS INDIA/58891                     ,14.4
20/08/2018,ACH/MOTHERSON SUMI SYSTE/1740080                  ,13.5
20/08/2018,ACH/INDIABULLS HOUSING/3950520                    ,10
21/08/2018,ACH/Castrol India Limite/168676                   ,27
21/08/2018,ACH/PI INDUSTRIES LTD/1629701                     ,2.5
21/08/2018,ACH/LICHOUSINGFINANCELTD/War184755IN30267934786175,20
21/08/2018,ACH/GODREJ CONSUMER PROD/62283                    ,4
23/08/2018,ACH/All Cargo Logistics/50029                     ,10
