ACC,1,11
ADANIENT,1,4
AEGISCHEM,1,2
AKZOINDIA,1,22
AMBUJACEM,1,8
APOLLOTYRE,1,15
ASIANPAINT,1,53
AVANTIFEED,1,9
AXISBANK,1,10
BAJAJ-AUTO,1,55
BASF,1,1
BATAINDIA,1,7
BAYERCROP,1,17
BERGEPAINT,1,7
BPCL,1,70
BRITANNIA,1,22
BSE,1,5
CASTROLIND,1,9
CEATLTD,1,11
CENTURYPLY,1,4
CERA,1,12
CIPLA,1,4
COALINDIA,1,512
EIHAHOTELS,1,7
EMAMILTD,1,5
GILLETTE,1,10
GLENMARK,1,4
GREENLAM,1,1
HINDALCO,1,9
HINDUNILVR,1,48
HINDZINC,1,10
HSIL,1,12
ICICIBANK,1,25
ICICIGI,1,2
ICRA,1,27
INDIGO,1,34
ITC,1,162
JSWSTEEL,1,11
KAJARIACER,1,6
KOTAKBANK,1,1
LUPIN,1,45
MARUTI,1,75
MRF,1,3
NCC,1,4
NHPC,1,45
NLCINDIA,1,50
NMDC,1,10
PEL,1,21
PETRONET,1,13
PIDILITIND,1,9
PURVA,1,36
PVR,1,2
RALLIS,1,18
RELAXO,1,2
RELIANCE,1,77
SHOPERSTOP,1,2
SIEMENS,1,14
SKFINDIA,1,10
SOBHA,1,7
TATAPOWER,1,16
THOMASCOOK,1,1
TIINDIA,1,2
TITAN,1,5
TRENT,1,4
TTKPRESTIG,1,12
ULTRACEMCO,1,30
UPL,1,49
VBL,1,5
VOLTAS,1,7
WHIRLPOOL,1,3
WIPRO,1,22
ZEELEARN,1,1
AUROPHARMA,2,6
BHARTIARTL,2,101
CRISIL,2,12
CUMMINSIND,2,24
DABUR,2,9
DLF,2,24
ENGINERSIN,2,22
EXIDEIND,2,12
GAIL,2,46
GODREJCP,2,2
HDFCAMC,2,133
HEROMOTOCO,2,85
HINDPETRO,2,89
INFY,2,305
MARICO,2,25
MONSANTO,2,30
NBCC,2,7
NESTLEIND,2,48
NILKAMAL,2,11
OIL,2,117
PAGEIND,2,60
PFC,2,132
SUPREMEIND,2,15
VEDL,2,778
NTPC,3,208
CARERATING,4,34
HCLTECH,4,72
,78,2254
