KOTAKBANK,1,1
THOMASCOOK,1,1
GREENLAM,1,1
BASF,1,1
ZEELEARN,1,1
UBL,1,1
LALPATHLAB,1,1
CHOLAHLDNG,1,1
SHOPERSTOP,1,2
PVR,1,2
JUBLFOOD,1,2
FLFL,1,2
RELAXO,1,2
ITDC,1,2
RAJESHEXPO,1,2
ICICIGI,1,2
GODREJCP,1,2
AEGISCHEM,1,2
WHIRLPOOL,1,3
MRF,1,3
TRENT,1,4
ADANIENT,1,4
ASAHIINDIA,1,4
CIPLA,1,4
NCC,1,4
CENTURYPLY,1,4
GLENMARK,1,4
PRESTIGE,1,4
COX&KINGS,1,4
HDFCLIFE,1,4
CARBORUNIV,1,4
EMAMILTD,1,5
TITAN,1,5
VBL,1,5
SRTRANSFIN,1,5
BSE,1,5
AMARAJABAT,1,6
KAJARIACER,1,6
TALWALKARS,1,6
TIINDIA,1,6
AUROPHARMA,1,6
HUDCO,1,6
BATAINDIA,1,7
EIHAHOTELS,1,7
SOBHA,1,7
BERGEPAINT,1,7
VOLTAS,1,7
NBCC,1,7
NIACL,1,7
AMBUJACEM,1,8
COLPAL,1,8
KANSAINER,1,9
NAUKRI,1,9
BALKRISIND,1,9
AVANTIFEED,1,9
DABUR,1,9
PIDILITIND,1,9
CASTROLIND,1,9
HINDALCO,1,9
BEL,1,9
AXISBANK,1,10
SKFINDIA,1,10
BRIGADE,1,10
NMDC,1,10
HINDZINC,1,10
GILLETTE,1,10
JSWSTEEL,1,11
ACC,1,11
CEATLTD,1,11
NILKAMAL,1,11
EXIDEIND,1,12
CERA,1,12
CRISIL,1,12
HSIL,1,12
LICHSGFIN,1,12
TTKPRESTIG,1,12
BHEL,1,12
M&M,1,13
PETRONET,1,13
TVSMOTOR,1,13
TATACOFFEE,1,14
SIEMENS,1,14
APOLLOTYRE,1,15
SUPREMEIND,1,15
BLUEDART,1,15
COROMANDEL,1,15
VSTTILLERS,1,15
TATAGLOBAL,1,16
TATAPOWER,1,16
INDHOTEL,1,16
CONCOR,1,16
JKTYRE,1,17
BAYERCROP,1,17
RALLIS,1,18
VIPIND,1,18
PEL,1,21
ZEEL,1,22
BRITANNIA,1,22
TATACHEM,1,22
AKZOINDIA,1,22
ENGINERSIN,1,22
WIPRO,1,22
IBULHSGFIN,1,23
CUMMINSIND,1,24
DLF,1,24
ICICIBANK,1,25
MARICO,1,25
ICRA,1,27
PGHH,1,27
ULTRACEMCO,1,30
MONSANTO,1,30
APOLLOHOSP,1,30
ICICIPRULI,1,31
CARERATING,1,34
INDIGO,1,34
PURVA,1,36
MUTHOOTFIN,1,40
LUPIN,1,45
NHPC,1,45
GAIL,1,46
NESTLEIND,1,48
UPL,1,49
NLCINDIA,1,50
SUNPHARMA,1,52
BAJAJ-AUTO,1,55
PAGEIND,1,60
BPCL,1,70
ASIANPAINT,1,71
HCLTECH,1,72
MARUTI,1,75
RELIANCE,1,77
LT,1,84
HEROMOTOCO,1,85
HINDPETRO,1,89
BHARTIARTL,1,101
RECLTD,1,104
HINDUNILVR,1,108
Dividend,1,110
IOC,1,117
OIL,1,117
ONGC,1,128
PFC,1,132
HDFC,1,133
NATIONALUM,1,160
MOTHERSUMI,1,161
ITC,1,162
POWERGRID,1,168
HDFCBANK,1,198
NTPC,1,208
INFY,1,305
TCS,1,388
COALINDIA,1,512
VEDL,1,778
