ADANI PORT AND SEZ					      |	ADANI PORT SPECIAL ECONO
ADITYA BIRLA FASHION RETAIL				      |	ADITYA BIRLA FASHION RTL
APOLLO HOSPITALS					      |	APOLLO HOSPITALS ENTERPRISES L
AVENUE SUPERMARTS					      |	AVENUE SUPERMARTS DMART
BAJAJ HOLDINGS INVESTMENT				      |	BAJAJ HOLDINGS INVESTMENT LI
BALRAMPUR CHINNI MILLS					      |	BALRAMPUR CHINI MILLS
CENTRAL DEPOSITORY					      |	CENTRAL DEPOSITORY SER IND
CHAMBAL FERTILIZERS					      |	CHAMBAL FERTILISERS CHEMICAL
CHOLAMANDALAM INVESTMENT FINANCE			      |	CHOLAMANDALAM INVESTMENT F
COLGATE-PALMOLIVE 					      |	COLGATE PALMOLIVE
COROMANDEL INTERNATIONAL				      |	COROMANDEL INTERNATIONAL LIMIT
CROMPTON GREAVES CONSUMER				      |	CROMPTON GREAVES CONS ELEC
DEWAN HOUSING FINANCE					      |	DEWAN HOUSING FINANCE  L
DR REDDY'S LAB						      |	DR LAL PATHLABS
DR. LAL PATHLABS					      |	DR REDDYS LABORATORIES
EICHER MOTORS						      |	EICHERMOT
ENDURANCE						      |	ENDURANCE TECHNOLOGIES
FUTURE SUPPLY CHAIN SOLUTION				      |	FUTURE SUPPLY CHAIN SOL
GIC RE							      |	GENERAL INSURANCE CORP
GLAXOSMITHKLINE CONSUMER				      |	GLAXOSMITHKLINE CONSUMER HEALT
GRASIM							      |	GRASIM INDUSTRIES
HATSUN AGRO						      |	HATSUN AGRO PRODUCTS
HDFC AMC						      |	HDFC ASSET MANAGEMENT CO
HDFC LIFE						      |	HDFC STANDARD LIFE INS CO
HINDALCO						      |	HINDALCO INDUSTRIES
HINDUSTAN PETROLEUM					      |	HINDUSTAN PETROLEUM CORP
HONEYWELL AUTOMATION					      |	HONAUT
HOUSING DEVELOPMENT FINANCE				      |	HOUSING DEVELOPMENT FINANCE CO
HOUSING URBAN DEV					      |	HOUSING URBAN DEV CO HUDCO
ICICI LOMBARD GEN					      |	ICICI LOMBARD GEN INSURANCE CO
ICICI PRUDENTIAL LIFE					      |	ICICI PRUDENTIAL LIFE INS CO
ICICI SECURITIES					      |	ICICI SECURITIES ISEC
INDIAN HOTELS						      |	INDIAN HOTELS CO
INDRAPRASATH GAS					      |	INDIAN OIL CORPORATION
							      >	INDRAPRASHTHA GAS
IOCL							      <
JK TYRE							      |	JK TYRE INDUSTRIES
JOHNSON CONTROL						      |	JOHNSON CONTROLS HITACHI AIR I
KANSAI NEROLAC						      |	KANSAI NEROLAC PAINTS
KAVERI SEED						      |	KAVERI SEED COMPANY
LT FINANCE HOLDINGS					      |	L&T TECHNOLOGIES
LT TECHNOLOGIES						      |	LARSEN TOUBRO
LARSEN AND TOUBRO					      <
							      >	LT FINANCE HOLDINGS
MAHINDRA MAHINDRA					      <
MAHINDRA MAHINDRA FINANCE				      <
MAHINDRA HOLIDAYS					      |	MAHINDRA HOLIDAYS RESORTS IN
MANNAPURAM FINANCE					      |	MAHINDRA MAHINDRA
							      >	MAHINDRA MAHINDRA FINANCIAL
							      >	MANAPPURAM FINANCE
MOTHERSON SUMI						      |	MOTHERSON SUMI SYSTEMS
NATIONAL ALUMINIUM					      |	NATIONAL ALUMINIUM CO
NEW ASSURANCE						      <
OIL NATURAL GAS 					      <
PAGE INDUSTRIES						      |	OIL NATURAL GAS CORPORATIO
							      >	P I INDUSTRIES
							      >	PAGEIND
PI INDUSTRIES						      <
POWER FINANCE						      |	POWER FINANCE CORPORATION
POWER GRID CORPORATION					      |	POWER GRID CORPORATIONINDI
PRESTIGE ESTATES					      |	PRESTIGE ESTATES PROJECTS LIMI
PROCTER GAMBLE						      |	PROCTER GAMBLE HYGIENE HEA
RURAL ELECTRIFICATION					      |	RURAL ELECTRIFICATION CORPORAT
SBI LIFE						      |	SBI LIFE INSURANCE COMPANY
SHIPPING CORP OF					      |	SHIPPING CORP LT
SHREE CEMENTS						      <
SHRIRAM TRANSPORT FINANCE				      |	SHREECEM
							      >	SHRIRAM TRANSPORT FINANCE CO
STATE BANK OF						      |	STATE BANK
SUN PHARMACEUTICAL					      |	SUN PHARMACEUTICAL INDUSTRIES
TALWALKARS BETTER VALUE					      |	TALWALKARS BETTER VALUE FITNES
TALWALKARS LIFESTYLE					      |	TALWALKARS LIFESTYLES
							      >	TATA CONSULTANCY SERVICES
TATA INVESTMENT						      |	TATA INVESTMENT CORPORATION LT
TCS							      <
							      >	THE NEW ASSURANCE CO
TUBE INVESTMENT OF					      |	TUBE INVESTMENTS
V-GUARD INDUSTRIES					      |	V GUARD INDUSTRIES
WHIRLPOOL OF						      |	WHIRLPOOL
WONDERLA RESORTS					      |	WONDERLA HOLIDAYS
ZEE ENTERTAINMENT					      |	ZEE ENTERTAINMENT ENTERPRISES
