comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ASIANPAINT,-,-,-,-,-,-,-,-,-,-,5,-,5
BHARTIARTL,-,-,-,-,-,-,-,34,-,-,-,-,34
COALINDIA,-,-,537,-,-,-,-,-,-,-,-,-,537
HCLTECH,-,30,-,-,-,-,-,-,-,-,12,-,42
HDFC,-,-,18,-,-,-,-,-,-,-,-,-,18
HDFCBANK,-,-,-,-,-,-,114,-,-,-,-,-,114
HINDUNILVR,-,-,-,-,-,-,29,-,-,-,21,-,50
ICICIBANK,-,-,-,-,-,-,50,-,-,-,-,-,50
INFY,-,-,-,-,-,57,-,-,-,66,-,-,123
ITC,-,-,-,-,-,-,196,125,-,-,-,-,321
LT,-,-,-,-,-,-,-,36,-,-,-,-,36
NTPC,-,41,16,-,-,-,-,-,28,-,-,-,85
ONGC,-,20,-,-,-,-,-,-,20,-,27,-,67
POWERGRID,-,-,24,-,-,-,-,-,-,-,-,-,24
SBIN,-,-,-,-,-,26,-,-,-,-,-,-,26
SUNPHARMA,-,-,-,-,-,-,-,-,9,-,-,-,9
TATAMOTORS,-,-,-,-,-,-,-,1,-,-,-,-,1
TCS,-,39,-,-,-,27,-,6,-,-,19,-,91
WIPRO,-,18,-,-,-,-,4,-,-,-,-,-,22
Total,-,148,595,-,-,110,393,202,57,66,84,-,-
