stock_symbol, isin_code, comp_name, action, qty, price, txn_date
,INE358A01014,ABBOTT INDIA LIMITED,Buy,1,4089,19-Sep-2017
,INE462A01022,BAYER CROPSCIENCE LIMITED,Buy,1,4717,09-Jun-2017
,INE462A01022,BAYER CROPSCIENCE LIMITED,Buy,1,2790,15-Nov-2019
,INE533A01012,GOODYEAR INDIA LTD,Buy,1,924,26-Oct-2018
,INE533A01012,GOODYEAR INDIA LTD,Sell,1,1002,07-Jan-2020
,INE533A01012,GOODYEAR INDIA LTD,Buy,6,995,13-Jan-2020
,INE745G01035,MULTI COMMODITY EXCHANGE,Buy,1,817,26-Jul-2018
,INE239A01016,NESTLE INDIA LIMITED,Buy,1,6634,09-Jun-2017
,INE234A01025,NOVARTIS INDIA LIMITED,Buy,3,656,23-Sep-2019
,INE274F01020,WESTLIFE DEVELOPMENT LTD,Buy,4,238,08-Sep-2017
,INE274F01020,WESTLIFE DEVELOPMENT LTD,Buy,3,328,09-Nov-2018
ABB,INE117A01022,ABB INDIA LIMITED,Buy,1,738,07-Oct-2008
ABB,INE117A01022,ABB INDIA LIMITED,Sell,1,511,11-Nov-2008
ABB,INE117A01022,ABB INDIA LIMITED,Buy,1,1436,05-Jun-2017
ABB,INE117A01022,ABB INDIA LIMITED,Buy,1,1400,02-Jan-2018
ABB,INE117A01022,ABB INDIA LIMITED,Buy,1,1317,02-Jan-2019
ABB,INE117A01022,ABB INDIA LIMITED,Buy,2,884,05-Jun-2020
ACC,INE012A01025,ACC LIMITED,Buy,5,747,11-Feb-2008
ACC,INE012A01025,ACC LIMITED,Buy,5,715,12-Feb-2008
ACC,INE012A01025,ACC LIMITED,Buy,2,602,09-Jun-2008
ACC,INE012A01025,ACC LIMITED,Sell,1,483,11-Nov-2008
ACC,INE012A01025,ACC LIMITED,Sell,1,483,11-Nov-2008
ACC,INE012A01025,ACC LIMITED,Sell,8,483,11-Nov-2008
ACC,INE012A01025,ACC LIMITED,Buy,1,901,25-Feb-2010
ACC,INE012A01025,ACC LIMITED,Sell,2,1424,01-Jan-2013
ACC,INE012A01025,ACC LIMITED,Sell,1,1276,11-Feb-2013
ACC,INE012A01025,ACC LIMITED,Buy,1,1639,30-May-2017
ACC,INE012A01025,ACC LIMITED,Buy,1,1832,01-Nov-2017
ACC,INE012A01025,ACC LIMITED,Buy,1,1459,09-Nov-2018
