comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, t500, sc_score, sc_value, sc_cmp, sc_iv, sc_graham
Icra,INE725G01011,5,4,1,20,22-Jun-2017,378,Buy,yes,21,1,3421,5365,1180
Sbi life insurance company,INE123W01016,5,1,4,80,03-Oct-2017,275,Buy,yes,10,1,665,0,131
Sbi life insurance company,INE123W01016,5,1,4,80,03-Oct-2017,275,Buy,yes,10,1,665,0,131
Mahindra mahindra financial services,INE774D01024,3,1,2,67,03-Oct-2017,275,Buy,yes,0,0,0,0,0
Shriram transport finance co,INE721A01013,3,1,2,67,03-Oct-2017,275,Buy,yes,14,3,1152,84288,925
Nlc,INE589A01014,3,1,2,67,03-Oct-2017,275,Buy,yes,23,6,75,61,132
Nhpc,INE848E01016,3,1,2,67,03-Oct-2017,275,Buy,yes,22,6,23,-65,41
Indiabulls housing finance,INE148I01020,3,1,2,67,03-Oct-2017,275,Buy,yes,16,4,1131,289,824
Avenue supermarts,INE192R01011,2,1,1,50,16-Oct-2017,262,Buy,yes,10,0,1546,476,144
Godrej industries,INE233A01035,3,1,2,67,16-Oct-2017,262,Buy,yes,0,0,0,0,0
Chambal fertilizers chemicals,INE085A01013,2,1,1,50,16-Oct-2017,262,Buy,yes,17,5,150,239,137
Grasim industries,INE047A01021,3,2,1,33,16-Oct-2017,262,Buy,yes,14,3,968,4535,822
Godrej agrovet,INE850D01014,2,1,1,50,16-Oct-2017,262,Buy,yes,18,1,608,620,112
Carborundum universal,INE120A01034,2,1,1,50,17-Oct-2017,261,Buy,yes,18,1,318,-1176,147
Grindwell norton,INE536A01023,2,1,1,50,17-Oct-2017,261,Buy,yes,20,1,525,4019,169
General insurance corporation of,INE481Y01014,5,2,3,60,25-Oct-2017,253,Buy,yes,14,3,760,0,699
Icici prudential life insurance company,INE726G01019,5,2,3,60,01-Nov-2017,246,Buy,yes,0,0,0,0,0
Tata coffee,INE493A01027,5,2,3,60,01-Nov-2017,246,Buy,yes,21,7,118,190,122
Power finance corporation,INE134E01011,5,2,3,60,01-Nov-2017,246,Buy,yes,0,0,0,0,0
Lic housing finance,INE115A01026,5,2,3,60,01-Nov-2017,246,Buy,yes,15,6,475,471,479
Interglobe aviation,INE646L01027,5,2,3,60,01-Nov-2017,246,Buy,yes,20,3,1075,256,453
Tata global beverages,INE192A01025,5,2,3,60,01-Nov-2017,246,Buy,yes,18,1,271,903,148
Muthoot finance,INE414G01012,5,2,3,60,01-Nov-2017,246,Buy,yes,17,7,409,1139,446
United breweries,INE686F01025,5,2,3,60,01-Nov-2017,246,Buy,yes,16,1,1143,1732,185
Itc,INE154A01025,10,6,4,40,02-Nov-2017,245,Buy,yes,21,1,272,518,93
Somany ceramics,INE355A01028,2,1,1,50,13-Nov-2017,234,Buy,yes,14,1,475,257,215
Balrampur chini mills,INE119A01028,2,1,1,50,13-Nov-2017,234,Buy,yes,15,6,62,6,129
Bharti airtel,INE397D01024,10,9,1,10,27-Nov-2017,220,Buy,yes,13,1,363,2958,146
Reliance industries,INE002A01018,10,7,3,30,27-Nov-2017,220,Buy,yes,14,4,964,1207,770
Crompton greaves consumer electricals,INE299U01018,2,1,1,50,28-Nov-2017,219,Buy,yes,0,0,0,0,0
Blue star,INE472A01039,2,1,1,50,28-Nov-2017,219,Buy,yes,18,1,646,0,181
Ifb industries,INE559A01017,2,1,1,50,28-Nov-2017,219,Buy,yes,10,1,1190,1939,250
Jain irrigation systems,INE175A01038,2,1,1,50,29-Nov-2017,218,Buy,yes,17,4,76,-370,91
Ntpc,INE733E01010,10,7,3,30,06-Dec-2017,211,Buy,yes,21,6,152,1540,190
Asian paints,INE021A01026,10,8,2,20,06-Dec-2017,211,Buy,yes,20,1,1321,1654,207
Apollo hospitals enterprise,INE437A01024,10,7,3,30,06-Dec-2017,211,Buy,yes,18,1,1048,4790,321
Oil natural gas corporation,INE213A01029,5,3,2,40,06-Dec-2017,211,Buy,yes,23,6,205,-494,384
Jsw steel,INE019A01038,5,2,3,60,06-Dec-2017,211,Buy,yes,17,5,310,182,260
Bata,INE176A01028,5,3,2,40,06-Dec-2017,211,Buy,yes,19,1,835,2460,212
India tourism development corporation,INE353K01014,2,0,2,100,27-Dec-2017,190,Sell,yes,0,0,0,0,0
Mahindra mahindra,INE101A01026,5,4,1,20,28-Dec-2017,189,Buy,yes,0,0,0,0,0
Siemens,INE003A01024,5,3,2,40,02-Jan-2018,184,Buy,yes,19,1,971,1969,415
Pvr,INE191H01014,5,3,2,40,02-Jan-2018,184,Buy,yes,15,1,1376,656,374
Eih,INE230A01023,3,2,1,33,02-Jan-2018,184,Buy,yes,20,1,163,-13023,45
Dabur,INE016A01026,5,2,3,60,02-Jan-2018,184,Buy,yes,21,1,376,476,74
Cipla,INE059A01026,5,1,4,80,02-Jan-2018,184,Buy,yes,17,1,626,-1919,261
Kansai nerolac paints,INE531A01024,5,2,3,60,02-Jan-2018,184,Buy,yes,17,0,473,398,111
Aurobindo pharma,INE406A01037,5,2,3,60,02-Jan-2018,184,Buy,yes,15,4,616,150,432
Ambuja cements,INE079A01024,3,2,1,33,02-Jan-2018,184,Buy,yes,20,3,207,-4311,157
Vip industries,INE054A01027,5,2,3,60,02-Jan-2018,184,Buy,yes,19,1,413,1537,87
Hindustan zinc,INE267A01025,5,2,3,60,02-Jan-2018,184,Buy,yes,22,5,274,746,215
Marico,INE196A01026,5,2,3,60,02-Jan-2018,184,Buy,yes,20,0,345,289,59
Bharat petroleum corporation,INE029A01011,4,2,2,50,02-Jan-2018,184,Buy,yes,19,6,371,138,377
Narayana hrudayalaya,INE410P01011,3,2,1,33,02-Jan-2018,184,Buy,yes,8,0,235,144,53
Abb,INE117A01022,5,3,2,40,02-Jan-2018,184,Buy,yes,18,0,1182,742,283
Varun beverages,INE200M01013,5,2,3,60,02-Jan-2018,184,Buy,yes,16,1,752,227,165
Mahindra holidays resorts,INE998I01010,5,2,3,60,02-Jan-2018,184,Buy,yes,21,1,312,1087,117
Relaxo footwears,INE131B01039,5,2,3,60,02-Jan-2018,184,Buy,yes,13,0,703,449,138
Nmdc,INE584A01023,5,2,3,60,01-Feb-2018,154,Buy,yes,23,6,103,-90,150
Petronet lng,INE347G01014,4,2,2,50,01-Feb-2018,154,Buy,yes,18,5,219,373,145
Dish tv,INE836F01026,5,2,3,60,01-Feb-2018,154,Buy,yes,5,1,72,0,0
Tech mahindra,INE669C01036,5,3,2,40,01-Feb-2018,154,Buy,yes,20,3,646,529,423
Berger paints,INE463A01038,3,2,1,33,01-Feb-2018,154,Buy,yes,20,0,290,247,50
Quess corp,INE615P01015,3,1,2,67,01-Feb-2018,154,Buy,yes,10,1,1106,224,197
