comp_id, comp_name, action, qty, price, txn_date
3MIND,3M INDIA LIMITED,Buy,1,13647,11-Jul-2017
3MIND,3M INDIA LIMITED,Sell,1,15582,08-Nov-2017
ABB,ABB INDIA LIMITED,Buy,1,738,07-Oct-2008
ABB,ABB INDIA LIMITED,Sell,1,511,11-Nov-2008
ABB,ABB INDIA LIMITED,Buy,1,1436,05-Jun-2017
ABB,ABB INDIA LIMITED,Buy,1,1399,02-Jan-2018
ABBIND,ABBOTT INDIA LIMITED,Buy,1,4088,19-Sep-2017
ACC,ACC LIMITED,Buy,5,746,11-Feb-2008
ACC,ACC LIMITED,Buy,5,715,12-Feb-2008
ACC,ACC LIMITED,Buy,2,601,09-Jun-2008
ACC,ACC LIMITED,Sell,1,483,11-Nov-2008
ACC,ACC LIMITED,Sell,1,483,11-Nov-2008
ACC,ACC LIMITED,Sell,8,483,11-Nov-2008
ACC,ACC LIMITED,Buy,1,901,25-Feb-2010
ACC,ACC LIMITED,Sell,2,1424,01-Jan-2013
ACC,ACC LIMITED,Sell,1,1276,11-Feb-2013
ACC,ACC LIMITED,Buy,1,1638,30-May-2017
ACC,ACC LIMITED,Buy,1,1831,01-Nov-2017
ADAENT,ADANI ENTERPRISES LIMITED,Buy,7,118,30-May-2017
ADAENT,ADANI ENTERPRISES LIMITED,Buy,2,118,30-May-2017
ADAENT,ADANI ENTERPRISES LIMITED,Buy,1,118,30-May-2017
ADAENT,ADANI ENTERPRISES LIMITED,Buy,7,143,06-Dec-2017
ADAPOR,ADANI PORT AND SPECIAL ECONO,Buy,3,376,29-Sep-2017
ADIBIR,ADITYA BIRLA NUVO LIMITED,Buy,1,852,07-Oct-2008
ADIBIR,ADITYA BIRLA NUVO LIMITED,Sell,1,588,14-Nov-2008
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,Buy,6,173,02-Jun-2017
ADIFAS,ADITYA BIRLA FASHION & RTL LTD,Buy,7,149,04-Apr-2018
AEGLOG,AEGIS LOGISTICS LTD,Buy,4,268,02-Feb-2018
AKZNOB,AKZO NOBEL INDIA LIMITED,Buy,1,1810,17-Jul-2017
ALLBAN,ALLAHABAD BANK,Buy,31,94,07-Mar-2008
ALLBAN,ALLAHABAD BANK,Buy,27,73,06-Jun-2008
ALLBAN,ALLAHABAD BANK,Buy,15,68,09-Jun-2008
ALLBAN,ALLAHABAD BANK,Sell,50,54,11-Nov-2008
ALLBAN,ALLAHABAD BANK,Sell,23,54,11-Nov-2008
ALLLOG,ALLCARGO LOGISTICS LTD,Buy,5,189,02-Feb-2018
AMARAJ,AMARA RAJA BATTERIES LTD,Buy,1,879,05-Jun-2017
AMBCE,AMBUJA CEMENTS LTD,Buy,25,119,04-Mar-2008
AMBCE,AMBUJA CEMENTS LTD,Buy,12,86,06-Jun-2008
AMBCE,AMBUJA CEMENTS LTD,Buy,12,80,09-Jun-2008
AMBCE,AMBUJA CEMENTS LTD,Sell,39,58,11-Nov-2008
AMBCE,AMBUJA CEMENTS LTD,Buy,5,105,18-Feb-2010
AMBCE,AMBUJA CEMENTS LTD,Buy,5,103,25-Feb-2010
AMBCE,AMBUJA CEMENTS LTD,Sell,20,202,01-Jan-2013
AMBCE,AMBUJA CEMENTS LTD,Buy,3,240,05-Jun-2017
AMBCE,AMBUJA CEMENTS LTD,Buy,1,240,05-Jun-2017
AMBCE,AMBUJA CEMENTS LTD,Buy,1,240,05-Jun-2017
AMBCE,AMBUJA CEMENTS LTD,Buy,4,268,02-Jan-2018
ANDBAN,ANDHRA BANK,Buy,35,85,04-Mar-2008
ANDBAN,ANDHRA BANK,Buy,14,71,06-Jun-2008
ANDBAN,ANDHRA BANK,Buy,10,68,09-Jun-2008
ANDBAN,ANDHRA BANK,Sell,59,50,11-Nov-2008
ANSPRO,ANSAL PROPERTIES & INFRASTRUCT,Buy,10,114,06-Jun-2008
ANSPRO,ANSAL PROPERTIES & INFRASTRUCT,Buy,10,103,09-Jun-2008
ANSPRO,ANSAL PROPERTIES & INFRASTRUCT,Sell,20,45,11-Nov-2008
APOHOS,APOLLO HOSPITALS ENTERPRISES L,Buy,5,1211,25-Jan-2017
APOHOS,APOLLO HOSPITALS ENTERPRISES L,Buy,1,1154,06-Dec-2017
APOTYR,APOLLO TYRES LTD,Buy,5,247,02-Jun-2017
APOTYR,APOLLO TYRES LTD,Buy,4,255,01-Feb-2018
ARVLIM,ARVIND LIMITED,Buy,3,411,18-Sep-2017
ASAIND,ASAHI INDIA GLASS LIMITED,Buy,35,84,03-Mar-2008
ASAIND,ASAHI INDIA GLASS LIMITED,Sell,35,48,11-Nov-2008
ASAIND,ASAHI INDIA GLASS LIMITED,Buy,4,240,30-May-2017
ASAIND,ASAHI INDIA GLASS LIMITED,Buy,1,362,06-Dec-2017
ASAIND,ASAHI INDIA GLASS LIMITED,Buy,2,362,06-Dec-2017
ASIGRA,ASIAN GRANITO INDIA LIMITED,Buy,2,532,02-Feb-2018
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,1177,22-Sep-2016
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,1135,24-Oct-2016
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,910,22-Nov-2016
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,854,22-Dec-2016
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,966,23-Jan-2017
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,1009,22-Feb-2017
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,1056,22-Mar-2017
ASIPAI,ASIAN PAINTS INDIA LTD,Buy,1,1108,06-Dec-2017
