3MINDIA, SALE
AAVAS, SALE
ABB, HOLD
ABBOTINDIA, BUY
ABCAPITAL, SALE
ABFRL, SALE
ACC, BUY
ADANIENT, HOLD
ADANIGAS, HOLD
ADANIGREEN, SALE
ADANIPORTS, SALE
ADANIPOWER, SALE
ADANITRANS, SALE
ADVENZYMES, HOLD
AEGISCHEM, BUY
AIAENG, BUY
AJANTPHARM, BUY
AKZOINDIA, BUY
ALBK, SALE
ALKEM, BUY
ALLCARGO, BUY
AMARAJABAT, BUY
AMBUJACEM, BUY
ANDHRABANK, SALE
APARINDS, SALE
APLAPOLLO, HOLD
APLLTD, BUY
APOLLOHOSP, HOLD
APOLLOTYRE, HOLD
ASHOKA, SALE
ASHOKLEY, BUY
ASIANPAINT, BUY
ASTERDM, HOLD
ASTRAL, SALE
ASTRAZEN, SALE
ATUL, BUY
AUBANK, SALE
AUROPHARMA, HOLD
AVANTIFEED, BUY
AXISBANK, SALE
BAJAJ-AUTO, BUY
BAJAJCON, SALE
BAJAJELEC, SALE
BAJAJFINSV, SALE
BAJAJHLDNG, HOLD
BAJFINANCE, HOLD
BALKRISIND, BUY
BALMLAWRIE, SALE
BALRAMCHIN, HOLD
BANDHANBNK, SALE
BANKBARODA, HOLD
BANKINDIA, SALE
BASF, HOLD
BATAINDIA, BUY
BAYERCROP, SALE
BBTC, SALE
BDL, HOLD
BEL, BUY
BEML, HOLD
BERGEPAINT, BUY
BHARATFORG, HOLD
BHARTIARTL, SALE
BHEL, SALE
BIOCON, HOLD
BIRLACORPN, HOLD
BLISSGVS, HOLD
BLUEDART, SALE
BLUESTARCO, BUY
BOMDYEING, SALE
BOSCHLTD, BUY
BPCL, HOLD
BRITANNIA, BUY
CADILAHC, HOLD
CANBK, SALE
CANFINHOME, HOLD
CAPLIPOINT, BUY
CARBORUNIV, BUY
CARERATING, BUY
CASTROLIND, BUY
CCL, BUY
CEATLTD, HOLD
CENTRALBK, SALE
CENTRUM, SALE
CENTURYPLY, HOLD
CENTURYTEX, HOLD
CERA, BUY
CGPOWER, SALE
CHALET, SALE
CHAMBLFERT, SALE
CHENNPETRO, SALE
CHOLAFIN, SALE
CHOLAHLDNG, SALE
CIPLA, HOLD
COALINDIA, BUY
COCHINSHIP, BUY
COFFEEDAY, SALE
COLPAL, BUY
CONCOR, BUY
COROMANDEL, HOLD
CORPBANK, SALE
CREDITACC, SALE
CRISIL, BUY
CROMPTON, HOLD
CUB, SALE
CUMMINSIND, BUY
CYIENT, BUY
DABUR, BUY
DBCORP, SALE
DBL, SALE
DCAL, SALE
DCBBANK, HOLD
DCMSHRIRAM, BUY
DEEPAKFERT, SALE
DEEPAKNTR, BUY
DELTACORP, BUY
DHANUKA, HOLD
DHFL, HOLD
DISHTV, SALE
DIVISLAB, BUY
DLF, HOLD
DMART, SALE
DRREDDY, HOLD
ECLERX, SALE
EDELWEISS, BUY
EICHERMOT, BUY
EIDPARRY, SALE
EIHOTEL, HOLD
EMAMILTD, SALE
ENDURANCE, BUY
ENGINERSIN, SALE
EQUITAS, SALE
ERIS, SALE
ESCORTS, HOLD
ESSELPACK, BUY
EVEREADY, SALE
EXIDEIND, BUY
FCONSUMER, HOLD
FDC, HOLD
FEDERALBNK, HOLD
FINCABLES, BUY
FINEORG, HOLD
FINPIPE, BUY
FLFL, HOLD
FORCEMOT, HOLD
FORTIS, SALE
FRETAIL, HOLD
FSL, BUY
GAIL, BUY
GALAXYSURF, HOLD
GAYAPROJ, SALE
GDL, HOLD
GEPIL, SALE
GESHIP, HOLD
GET&D, SALE
GHCL, HOLD
GICHSGFIN, SALE
GICRE, SALE
GILLETTE, BUY
GLAXO, SALE
GLENMARK, HOLD
GMDCLTD, SALE
GMRINFRA, SALE
GNFC, BUY
GODFRYPHLP, HOLD
GODREJAGRO, BUY
GODREJCP, BUY
GODREJIND, SALE
GODREJPROP, SALE
GPPL, BUY
GRANULES, HOLD
GRAPHITE, BUY
GRASIM, SALE
GREAVESCOT, BUY
GRINDWELL, BUY
GRUH, BUY
GSFC, HOLD
GSKCONS, SALE
GSPL, BUY
GUJALKALI, HOLD
GUJGASLTD, SALE
GULFOILLUB, HOLD
HAL, HOLD
HATHWAY, HOLD
HAVELLS, BUY
HCLTECH, BUY
HDFC, BUY
HDFCAMC, HOLD
HDFCBANK, BUY
HDFCLIFE, HOLD
HEG, BUY
HEIDELBERG, BUY
HERITGFOOD, HOLD
HEROMOTOCO, BUY
HEXAWARE, BUY
HFCL, SALE
HIMATSEIDE, SALE
HINDALCO, HOLD
HINDCOPPER, HOLD
HINDPETRO, HOLD
HINDUNILVR, BUY
HINDZINC, BUY
HONAUT, HOLD
HSCL, SALE
HUDCO, HOLD
IBREALEST, SALE
IBULHSGFIN, BUY
IBULISL, SALE
IBVENTURES, BUY
ICICIBANK, HOLD
ICICIGI, HOLD
ICICIPRULI, SALE
IDBI, SALE
IDEA, SALE
IDFC, HOLD
IDFCFIRSTB, SALE
IEX, BUY
IFBIND, SALE
IFCI, SALE
IGL, BUY
INDHOTEL, HOLD
INDIACEM, HOLD
INDIANB, HOLD
INDIGO, SALE
INDOSTAR, SALE
INDUSINDBK, HOLD
INFIBEAM, SALE
INFRATEL, SALE
INFY, BUY
INOXLEISUR, HOLD
INOXWIND, HOLD
INTELLECT, SALE
IOB, SALE
IOC, HOLD
IPCALAB, HOLD
IRB, SALE
IRCON, HOLD
ISEC, HOLD
ITC, BUY
ITDC, HOLD
ITDCEM, HOLD
ITI, HOLD
J&KBANK, SALE
JAGRAN, BUY
JAICORPLTD, SALE
JAMNAAUTO, HOLD
JBCHEPHARM, BUY
JCHAC, SALE
JETAIRWAYS, SALE
JINDALSAW, HOLD
JINDALSTEL, SALE
JISLJALEQS, SALE
JKCEMENT, HOLD
JKLAKSHMI, SALE
JKTYRE, SALE
JMFINANCIL, BUY
JPASSOCIAT, SALE
JSL, SALE
JSLHISAR, SALE
JSWENERGY, HOLD
JSWHL, SALE
JSWSTEEL, SALE
JUBILANT, SALE
JUBLFOOD, BUY
JUSTDIAL, SALE
JYOTHYLAB, HOLD
KAJARIACER, BUY
KALPATPOWR, HOLD
KANSAINER, BUY
KEC, HOLD
KEI, HOLD
KNRCON, SALE
KOTAKBANK, SALE
KPRMILL, SALE
KRBL, HOLD
KTKBANK, HOLD
L&TFH, BUY
LALPATHLAB, BUY
LAOPALA, HOLD
LAURUSLABS, HOLD
LAXMIMACH, BUY
LEMONTREE, SALE
LICHSGFIN, BUY
LINDEINDIA, SALE
LT, SALE
LTI, BUY
LTTS, BUY
LUPIN, HOLD
LUXIND, HOLD
M&M, BUY
M&MFIN, BUY
MAGMA, HOLD
MAHABANK, SALE
MAHINDCIE, SALE
MAHLIFE, HOLD
MAHLOG, HOLD
MAHSCOOTER, SALE
MAHSEAMLES, BUY
MANAPPURAM, BUY
MARICO, BUY
MARUTI, BUY
MASFIN, BUY
MAXINDIA, SALE
MCX, BUY
MEGH, HOLD
MFSL, SALE
MGL, BUY
MHRIL, SALE
MINDACORP, BUY
MINDAIND, HOLD
MINDTREE, BUY
MMTC, HOLD
MOIL, SALE
MONSANTO, BUY
MOTHERSUMI, SALE
MOTILALOFS, BUY
MPHASIS, BUY
MRF, SALE
MRPL, HOLD
MUTHOOTFIN, BUY
NATCOPHARM, BUY
NATIONALUM, BUY
NAUKRI, SALE
NAVINFLUOR, BUY
NBCC, BUY
NBVENTURES, HOLD
NCC, HOLD
NESCO, HOLD
NESTLEIND, BUY
NETWORK18, SALE
NH, HOLD
NHPC, HOLD
NIACL, SALE
NIITTECH, BUY
NILKAMAL, HOLD
NLCINDIA, SALE
NMDC, HOLD
NOCIL, HOLD
NTPC, SALE
OBEROIRLTY, HOLD
OFSS, HOLD
OIL, HOLD
OMAXE, SALE
ONGC, BUY
ORIENTBANK, SALE
ORIENTCEM, SALE
ORIENTELEC, HOLD
PAGEIND, BUY
PARAGMILK, HOLD
PCJEWELLER, HOLD
PEL, BUY
PERSISTENT, BUY
PETRONET, HOLD
PFC, HOLD
PFIZER, BUY
PGHH, BUY
PGHL, HOLD
PHILIPCARB, BUY
PHOENIXLTD, SALE
PIDILITIND, BUY
PIIND, BUY
PNB, SALE
PNBHOUSING, BUY
PNCINFRA, HOLD
POLYCAB, SALE
POWERGRID, SALE
PRESTIGE, SALE
PRSMJOHNSN, SALE
PTC, SALE
PVR, SALE
QUESS, HOLD
RADICO, BUY
RAIN, SALE
RAJESHEXPO, HOLD
RALLIS, HOLD
RAMCOCEM, BUY
RATNAMANI, BUY
RAYMOND, SALE
RBLBANK, HOLD
RCF, SALE
RCOM, SALE
RECLTD, BUY
REDINGTON, BUY
RELAXO, BUY
RELCAPITAL, HOLD
RELIANCE, HOLD
RELINFRA, SALE
REPCOHOME, HOLD
RITES, HOLD
RNAM, BUY
RPOWER, SALE
SADBHAV, SALE
SAIL, SALE
SANOFI, BUY
SBILIFE, HOLD
SBIN, SALE
SCHAEFFLER, BUY
SCHNEIDER, SALE
SCI, HOLD
SFL, SALE
SHANKARA, SALE
SHILPAMED, HOLD
SHK, HOLD
SHOPERSTOP, SALE
SHREECEM, BUY
SHRIRAMCIT, BUY
SIEMENS, BUY
SIS, HOLD
SJVN, BUY
SKFINDIA, BUY
SOBHA, SALE
SOLARINDS, BUY
SOMANYCERA, HOLD
SONATSOFTW, BUY
SOUTHBANK, HOLD
SPARC, SALE
SPICEJET, SALE
SREINFRA, HOLD
SRF, HOLD
SRTRANSFIN, HOLD
STAR, SALE
STARCEMENT, SALE
STRTECH, SALE
SUDARSCHEM, HOLD
SUNDRMFAST, BUY
SUNPHARMA, SALE
SUNTECK, HOLD
SUNTV, BUY
SUPRAJIT, BUY
SUPREMEIND, BUY
SUVEN, SALE
SUZLON, SALE
SWANENERGY, SALE
SYMPHONY, BUY
SYNGENE, HOLD
TAKE, HOLD
TATACHEM, SALE
TATACOFFEE, HOLD
TATAELXSI, BUY
TATAGLOBAL, HOLD
TATAINVEST, SALE
TATAMETALI, HOLD
TATAMOTORS, SALE
TATAPOWER, SALE
TATASTEEL, SALE
TCNSBRANDS, SALE
TCS, BUY
TEAMLEASE, SALE
TECHM, BUY
TEJASNET, SALE
THERMAX, BUY
THOMASCOOK, SALE
THYROCARE, BUY
TIINDIA, HOLD
TIMETECHNO, HOLD
TIMKEN, HOLD
TITAN, BUY
TNPL, SALE
TORNTPHARM, SALE
TORNTPOWER, SALE
TRENT, HOLD
TRIDENT, HOLD
TRITURBINE, BUY
TTKPRESTIG, BUY
TV18BRDCST, SALE
TVSMOTOR, BUY
TVSSRICHAK, HOLD
TVTODAY, HOLD
UBL, BUY
UCOBANK, SALE
UFLEX, SALE
UJJIVAN, HOLD
ULTRACEMCO, HOLD
UNIONBANK, SALE
UNITEDBNK, SALE
UPL, SALE
VARROC, HOLD
VBL, SALE
VEDL, SALE
VENKEYS, HOLD
VGUARD, BUY
VINATIORGA, BUY
VIPIND, BUY
VMART, SALE
VOLTAS, BUY
VTL, SALE
WABAG, HOLD
WABCOINDIA, HOLD
WELCORP, SALE
WELSPUNIND, SALE
WESTLIFE, SALE
WHIRLPOOL, BUY
WIPRO, HOLD
WOCKPHARMA, SALE
YESBANK, HOLD
ZEEL, SALE
ZENSARTECH, BUY
ZYDUSWELL, HOLD
