comp_name, ticker, isin, plan_units_1k, rank, captype, mcap
Tata consultancy services, TCS, INE467B01029, 20, 1, Large Cap, 609949
Reliance industries, RELIANCE, INE002A01018, 20, 2, Large Cap, 603880
Hdfc bank, HDFCBANK, INE040A01026, 20, 3, Large Cap, 504850
Itc, ITC, INE154A01025, 20, 4, Large Cap, 328388
Hindustan unilever, HINDUNILVR, INE030A01027, 20, 5, Large Cap, 310473
Housing development finance corplt, HDFC, INE001A01036, 10, 6, Large Cap, 302362
Maruti suzuki, MARUTI, INE585B01010, 20, 7, Large Cap, 270719
Infosys, INFY, INE009A01021, 10, 8, Large Cap, 257789
Oil natural gas corporation, ONGC, INE213A01029, 3, 9, Large Cap, 234474
0, 10, Large Cap, 234343
Kotak mahindra bank, KOTAKBANK, INE237A01028, 2, 11, Large Cap, 220006
Icici bank, ICICIBANK, INE090A01021, 5, 12, Large Cap, 194457
Larsen toubro, LT, INE018A01030, 20, 13, Large Cap, 187311
Coal, COALINDIA, INE522F01014, 5, 14, Large Cap, 177671
Indian oil corporation, IOC, INE242A01010, 5, 15, Large Cap, 173488
Bharti airtel, BHARTIARTL, INE397D01024, 10, 16, Large Cap, 165804
Ntpc, NTPC, INE733E01010, 10, 17, Large Cap, 138077
Axis bank, AXISBANK, INE238A01034, 2, 18, Large Cap, 137856
Hcl technologies, HCLTECH, INE860A01027, 5, 19, Large Cap, 131824
Wipro, WIPRO, INE075A01022, 5, 20, Large Cap, 129723
Hindustan zinc, HINDZINC, INE267A01025, 5, 21, Large Cap, 129336
Sun pharmaceutical industries, SUNPHARMA, INE044A01036, 10, 22, Large Cap, 127722
Asian paints, ASIANPAINT, INE021A01026, 10, 23, Large Cap, 114186
Tata motors, TATAMOTORS, INE155A01022, 5, 24, Large Cap, 110881
Ultratech cement, ULTRACEMCO, INE481G01011, 10, 25, Large Cap, 110759
Vedanta, VEDL, INE205A01025, 5, 26, Large Cap, 109187
Bajaj finance, BAJFINANCE, INE296A01024, 0, 27, Large Cap, 108156
Indusind bank, INDUSINDBK, INE095A01012, 2, 28, Large Cap, 108074
Power grid corporation of, POWERGRID, INE752E01010, 5, 29, Large Cap, 104378
Mahindra mahindra, M&M, INE101A01026, 0, 30, Large Cap, 99800
Hdfc standard life insurance company, HDFCLIFE, INE795G01014, 5, 31, Large Cap, 93944
Bharat petroleum, BPCL, INE029A01011, 4, 32, Large Cap, 93548
Bajaj auto, BAJAJ-AUTO, INE917I01010, 5, 33, Large Cap, 85676
Bajaj finserv, BAJAJFINSV, INE918I01018, 3, 34, Large Cap, 85322
Avenue supermarts, DMART, INE192R01011, 2, 35, Large Cap, 85049
Nestle, NESTLEIND, INE239A01016, 5, 36, Large Cap, 82052
Adani ports special economic zone, ADANIPORTS, INE742F01042, 5, 37, Large Cap, 81503
Titan company, TITAN, INE280A01028, 5, 38, Large Cap, 79395
Eicher motors, EICHERMOT, INE066A01013, 30, 39, Large Cap, 78980
Yes bank, YESBANK, INE528G01027, 2, 40, Large Cap, 75861
Jsw steel, JSWSTEEL, INE019A01038, 5, 41, Large Cap, 74567
Godrej consumer products, GODREJCP, INE102D01028, 5, 42, Large Cap, 73986
Hero motocorp, HEROMOTOCO, INE158A01026, 5, 43, Large Cap, 72392
Grasim industries, GRASIM, INE047A01021, 3, 44, Large Cap, 72361
Gail, GAIL, INE129A01019, 4, 45, Large Cap, 71875
Motherson sumi systems, MOTHERSUMI, INE775A01035, 2, 46, Large Cap, 70561
Sbi life insurance company, SBILIFE, INE123W01016, 5, 47, Large Cap, 69153
Tata steel, TATASTEEL, INE081A01012, 5, 48, Large Cap, 68910
General insurance corporation of, GICRE, INE481Y01014, 10, 49, Large Cap, 64104
Dabur, DABUR, INE016A01026, 5, 50, Large Cap, 62645
Britannia industries, BRITANNIA, INE216A01022, 5, 51, Large Cap, 62400
Tech mahindra, TECHM, INE669C01036, 5, 52, Large Cap, 62221
Bharti infratel, INFRATEL, INE121J01017, 0, 53, Large Cap, 61031
0, 54, Large Cap, 59878
Shree cements, SHREECEM, INE070A01015, 18, 55, Large Cap, 58810
Icici prudential life insurance company, ICICIPRULI, INE726G01019, 5, 56, Large Cap, 58332
Bosch, BOSCHLTD, INE323A01026, 20, 57, Large Cap, 57571
Zee entertainment enterprises, ZEEL, INE256A01028, 5, 58, Large Cap, 55276
The new assurance company, NIACL, INE470Y01017, 5, 59, Large Cap, 54969
Hindalco industries, HINDALCO, INE038A01020, 5, 60, Large Cap, 53810
Indiabulls housing finance, IBULHSGFIN, INE148I01020, 3, 61, Large Cap, 53272
Hindustan petroleum corporation, HINDPETRO, INE094A01015, 3, 62, Large Cap, 53083
Pidilite industries, PIDILITIND, INE318A01026, 2, 63, Large Cap, 50466
Interglobe aviation, INDIGO, INE646L01027, 5, 64, Large Cap, 48493
United spirits, UNITDSPR, INE854D01024, 10, 65, Large Cap, 48469
Ambuja cements, AMBUJACEM, INE079A01024, 3, 66, Large Cap, 47238
Cipla, CIPLA, INE059A01026, 5, 67, Large Cap, 46807
Piramal enterprises, PEL, INE140A01024, 5, 68, Large Cap, 45871
Ashok leyland, ASHOKLEY, INE208A01029, 0, 69, Large Cap, 41372
Marico, MARICO, INE196A01026, 5, 70, Large Cap, 41087
Cadila healthcare, CADILAHC, INE010B01027, 3, 71, Large Cap, 40733
Siemens, SIEMENS, INE003A01024, 5, 72, Large Cap, 40201
Nmdc, NMDC, INE584A01023, 5, 73, Large Cap, 39854
Dlf, DLF, INE271C01023, 5, 74, Large Cap, 39282
Lupin, LUPIN$, INE326A01037, 5, 75, Large Cap, 37107
Upl, UPL, INE628A01036, 2, 76, Large Cap, 36887
0, 77, Large Cap, 36655
Sun tv network, SUNTV, INE424H01027, 0, 78, Large Cap, 36464
Dr reddys laboratories, DRREDDY, INE089A01023, 5, 79, Large Cap, 36148
Aurobindo pharma, AUROPHARMA, INE406A01037, 5, 80, Large Cap, 35551
0, 81, Large Cap, 35201
Icici lombard general insurance company, ICICIGI, INE765G01017, 5, 82, Large Cap, 35103
Bharat electronics, BEL, INE263A01024, 5, 83, Large Cap, 34980
0, 84, Large Cap, 34934
Petronet lng, PETRONET, INE347G01014, 4, 85, Large Cap, 34793
Aditya birla capital, ABCAPITAL, INE674K01013, 2, 86, Large Cap, 34583
0, 87, Large Cap, 34340
Steel authority of, SAIL, INE114A01011, 0, 88, Large Cap, 33647
Havells, HAVELLS, INE176B01034, 2, 89, Large Cap, 33334
Bharat forge, BHARATFORG, INE465A01025, 2, 90, Large Cap, 33221
Shriram transport finance co, SRTRANSFIN, INE721A01013, 3, 91, Large Cap, 32937
Container corporation of, CONCOR, INE111A01025, 3, 92, Large Cap, 32319
L&t finance holdings, L&TFH, INE498L01015, 2, 93, Large Cap, 32105
Bharat heavy electricals, BHEL, INE257A01026, 5, 94, Large Cap, 32014
Mrf, MRF, INE883A01011, 60, 95, Large Cap, 31142
Idea cellular, IDEA, INE669E01016, 5, 96, Large Cap, 30925
Procter gamble hygiene health care, PGHH, INE179A01014, 6, 97, Large Cap, 30662
0, 98, Large Cap, 30644
Tvs motor company, TVSMOTOR, INE494B01023, 5, 99, Large Cap, 30634
Colgate palmolive, COLPAL, INE259A01022, 2, 100, Large Cap, 30609
United breweries, UBL, INE686F01025, 5, 101, Mid Cap, 29338
Mahindra mahindra financial services, M&MFIN, INE774D01024, 3, 102, Mid Cap, 29124
Acc, ACC, INE012A01025, 3, 103, Mid Cap, 29023
0, 104, Mid Cap, 28918
Abb, ABB, INE117A01022, 5, 105, Mid Cap, 28908
0, 106, Mid Cap, 28610
Nhpc, NHPC, INE848E01016, 3, 107, Mid Cap, 28582
Future retail, FRETAIL, INE752P01024, 2, 108, Mid Cap, 27905
Kansai nerolac paints, KANSAINER, INE531A01024, 5, 109, Mid Cap, 26867
Glaxosmithkline consumer healthcare, GSKCONS, INE264A01014, 5, 110, Mid Cap, 26570
Lic housing finance, LICHSGFIN, INE115A01026, 5, 111, Mid Cap, 26345
0, 112, Mid Cap, 26083
Page industries, PAGEIND, INE761H01022, 15, 113, Mid Cap, 26079
Rural electrification corporation, RECLTD, INE020B01018, 5, 114, Mid Cap, 26022
Berger paints, BERGEPAINT, INE463A01038, 3, 115, Mid Cap, 25789
0, 116, Mid Cap, 25700
Emami, EMAMILTD, INE548C01032, 5, 117, Mid Cap, 25176
Power finance corporation, PFC, INE134E01011, 5, 118, Mid Cap, 25048
0, 119, Mid Cap, 24996
Larsen toubro infotech, LTI, INE214T01019, 2, 120, Mid Cap, 24711
0, 121, Mid Cap, 24601
Iifl holdings, IIFL, INE530B01024, 0, 122, Mid Cap, 23276
0, 123, Mid Cap, 23181
0, 124, Mid Cap, 23112
0, 125, Mid Cap, 22991
Tata power co, TATAPOWER, INE245A01021, 2, 126, Mid Cap, 22811
3m, 3MINDIA, INE470A01017, 15, 127, Mid Cap, 22225
Balkrishna industries, BALKRISIND, INE787D01026, 2, 128, Mid Cap, 22142
0, 129, Mid Cap, 21963
