ticker	bat	cmp	low_52w	high_52w	mos
ACC	1736	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A2),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A2),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A2),"high52"))	=ROUND((B2-C2)*100/C2)
AEGISCHEM	242	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A3),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A3),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A3),"high52"))	=ROUND((B3-C3)*100/C3)
AIAENG	1770	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A4),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A4),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A4),"high52"))	=ROUND((B4-C4)*100/C4)
ALKEM	2147	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A5),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A5),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A5),"high52"))	=ROUND((B5-C5)*100/C5)
AMARAJABAT	696	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A6),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A6),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A6),"high52"))	=ROUND((B6-C6)*100/C6)
APLLTD	542	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A7),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A7),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A7),"high52"))	=ROUND((B7-C7)*100/C7)
ASHOKLEY	88	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A8),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A8),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A8),"high52"))	=ROUND((B8-C8)*100/C8)
ATUL	4663	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A9),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A9),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A9),"high52"))	=ROUND((B9-C9)*100/C9)
BAJAJ-AUTO	3086	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A10),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A10),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A10),"high52"))	=ROUND((B10-C10)*100/C10)
BALKRISIND	886	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A11),"price"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A11),"low52"))	=ROUND(GOOGLEFINANCE(CONCATENATE("NSE:",A11),"high52"))	=ROUND((B11-C11)*100/C11)
