,S No.,Value Date,Transaction Date,Cheque Number,Transaction Remarks,Withdrawal Amount (INR ),Deposit Amount (INR ),Balance (INR ),
,1,03/04/2018,03/04/2018,-,ACH/HINDUSTAN ZINC LTD/03042018*050290            ,0,48,,
,2,03/04/2018,03/04/2018,-,ACH/COROMANDEL INTERNATI/2248445                  ,0,15,,
,3,03/04/2018,03/04/2018,-,ACH/NMDC LIMITED/0000005087707                    ,0,73,,
,4,03/04/2018,03/04/2018,-,ACH/Colgate-Palmolive (I/154751                   ,0,5,,
,6,12/04/2018,12/04/2018,-,APBS/BLPGCM2000DT1104/713605092                   ,0,156.91,,
,7,12/04/2018,12/04/2018,-,ACH/SBI LIFE INSURANCE C/1312963                  ,0,4,,
,8,17/04/2018,17/04/2018,-,ACH/PRAXIS HOME RETAIL L/28628                    ,0,31.19,,
,10,23/04/2018,23/04/2018,-,ACH/CRISIL LIMITED/5019233                        ,0,10,,
,12,08/05/2018,08/05/2018,-,ACH/INDIABULLS HOUSING/3851044                    ,0,10,,
,13,11/05/2018,11/05/2018,-,ACH/CRISIL LIMITED/5119276                        ,0,12,,
,14,11/05/2018,11/05/2018,-,ACH/ABB INDIA LIMITED/2049685                     ,0,8.8,,
,15,14/05/2018,14/05/2018,-,ACH/Sanofi India Limited/18344                    ,0,53,,
,16,16/05/2018,16/05/2018,-,"ACH/KSB Pumps Limited,/11553                      ",0,18,,
,17,17/05/2018,17/05/2018,-,ACH/HCL TECHNOLOGIES LIM/000000000000000000000000 ,0,12,,
,19,18/05/2018,18/05/2018,-,APBS/BLPGCM13503DT1605/740935995                  ,0,155.01,,
,20,18/05/2018,18/05/2018,-,ACH/Castrol India Limite/152601                   ,0,30,,
,21,30/05/2018,30/05/2018,-,ACH/GAIL (INDIA) LTD./000000000000000000000000110 ,0,221.91,,
,22,30/05/2018,30/05/2018,-,ACH/GODREJ CONSUMER PROD/57526                    ,0,7,,
,23,01/06/2018,01/06/2018,-,ACH/NESTLE INDIA LTD./000000000000000000000000059 ,0,43,,
,24,01/06/2018,01/06/2018,-,ACH/OIL INDIA LTD/5648249                         ,0,113.47,,
,26,07/06/2018,07/06/2018,-,ACH/Page Industries Limi/40051                    ,0,35,,
,27,12/06/2018,12/06/2018,-,ACH/MFL INTDIV Q1 FY1819/191094207                ,0,5,,
,28,15/06/2018,15/06/2018,-,ACH/ACCLTD/69238                                  ,0,30,,
,29,15/06/2018,15/06/2018,-,ACH/Colgate-Palmolive (I/153318                   ,0,22,,
,30,19/06/2018,19/06/2018,-,ACH/Ambuja Cements Limit/154584                   ,0,18,,
,31,19/06/2018,19/06/2018,-,ACH/TCS FIN DIV 190618/C200503904IN30267934786175 ,0,232,,
,33,26/06/2018,26/06/2018,-,APBS/BLPGCM26969DT2406/771229844                  ,0,201.61,,
,34,26/06/2018,26/06/2018,-,ACH/KANSAI FIN DIV2018/KN00038676IN30267934786175 ,0,13,,
,35,27/06/2018,27/06/2018,-,ACH/ASIANPAINTFINDIV18/AN00155328IN30267934786175 ,0,48.4,,
,38,02/07/2018,02/07/2018,-,ACH/HDFC BANK LTD/9389398  00324553               ,0,234,,
,39,04/07/2018,04/07/2018,-,ACH/HINDUSTAN UNILEVER L/15247276                 ,0,84,,
,40,05/07/2018,05/07/2018,-,ACH/TATACOFFEDIV050718/CO00083883IN30267934786175 ,0,22.5,,
,41,06/07/2018,06/07/2018,-,ACH/SUPREME INDUSTRIES L/SU2/FIN/2018/N27451      ,0,18,,
,42,06/07/2018,06/07/2018,-,ACH/RELIANCE INDUSTRIES/186004069                 ,0,90,,
,43,06/07/2018,06/07/2018,-,ACH/RALLISFINDIV060718/RA00052447IN30267934786175 ,0,25,,
,44,07/07/2018,07/07/2018,-,ACH/Nilkamal Limited/20592                        ,0,9,,
,45,09/07/2018,09/07/2018,-,ACH/TGBL DIV.09072018/TA00180490IN30267934786175  ,0,30,,
,46,18/07/2018,18/07/2018,-,ACH/BALKRISHNAINDUSTRIES/1729602                  ,0,3,,
,47,19/07/2018,19/07/2018,-,CMS/ICICI LOMBARD/FINAL DIV 2018                  ,0,10,,
,48,19/07/2018,19/07/2018,-,ACH/ULTRATECH CEMENT LTD/2032216                  ,0,31.5,,
,49,20/07/2018,20/07/2018,-,ACH/VIP Industries Limit/56507                    ,0,18,,
,50,21/07/2018,21/07/2018,-,ACH/KOTAK MAHINDRA BANK/3352092                   ,0,1,,
,51,23/07/2018,23/07/2018,-,CMS/ICICI PRU/FIN DIV17-18 3069251                ,0,19.8,,
,52,23/07/2018,23/07/2018,-,ACH/Zee Entertainment En/83127                    ,0,29,,
,53,23/07/2018,23/07/2018,-,ACH/TATASTEELDIVFP1718/TI00720984IN30267934786175 ,0,140,,
,54,24/07/2018,24/07/2018,-,APBS/BLPGCM37190DT2307/793699912                  ,0,254.4,,
,55,24/07/2018,24/07/2018,-,ACH/BAJAJ FINSERV LIMITE/2678955                  ,0,2,,
,56,24/07/2018,24/07/2018,-,ACH/BAJAJ AUTO LIMITED/2676732                    ,0,120,,
,57,24/07/2018,24/07/2018,-,ACH/ABBOTT INDIA LIMITED/1220264                  ,0,55,,
,58,24/07/2018,24/07/2018,-,ACH/HAVELLS INDIA LIMITE/0000000000000000000000000,0,20,,
,59,25/07/2018,25/07/2018,-,CMS/TCS/1ST INTERIM DIV 25072018                  ,0,64,,
,60,25/07/2018,25/07/2018,-,ACH/CEAT DIV 250718/CY00067723IN30267934786175    ,0,23,,
,62,26/07/2018,26/07/2018,-,ACH/CROMPTON GREAVES/376876                       ,0,7,,
,63,27/07/2018,27/07/2018,-,ACH/JSW STEEL LIMITED/16497334                    ,0,32,,
,65,27/07/2018,27/07/2018,-,ACH/TCL FINAL27072018/CH00168120IN30267934786175  ,0,88,,
,66,27/07/2018,27/07/2018,-,ACH/THE INDIAN HOTELS CO/0000000000000000000000000,0,22.4,,
,67,30/07/2018,30/07/2018,-,ACH/SKF ,0,24,,
,,,,,FINAL30072018/SK00022385IN30267934786175  ,,,,
,68,30/07/2018,30/07/2018,-,ACH/HERO MOTOCORP LTD./2986199                    ,0,80,,
,69,30/07/2018,30/07/2018,-,ACH/MAHINDRA & MAHINDRA/1444715                   ,0,12,,
,70,30/07/2018,30/07/2018,-,ACH/TPOWERFINDIV300718/PO00282175IN30267934786175 ,0,32.5,,
,71,30/07/2018,30/07/2018,-,ACH/Info-Edge India Limi/14418                    ,0,4.5,,
,73,30/07/2018,30/07/2018,-,ACH/GRINDWELL FINDIV18/GR00014289IN30267934786175 ,0,15,,
,74,31/07/2018,31/07/2018,-,ACH/HDFC FINAL DIV 2017-/0000000000000000000000001,0,132,,
,75,31/07/2018,31/07/2018,-,ACH/ITC LIMITED/403819                            ,0,206,,
,76,31/07/2018,31/07/2018,-,ACH/Piramal Enterprises/101652                    ,0,50,,
,77,01/08/2018,01/08/2018,-,ACH/DR. REDDY'S LABORATO/DRL/FIN/2018/088582      ,0,40,,
,79,02/08/2018,02/08/2018,-,ACH/V-Guard Industries L/56548                    ,0,2.8,,
,80,02/08/2018,02/08/2018,-,ACH/SHRIRAM TRANSPORT FI/STFCIN30267934786175     ,0,6,,
,81,02/08/2018,02/08/2018,-,ACH/TI FINANCIAL HOLDING/3416952                  ,0,2.6,,
,82,02/08/2018,02/08/2018,-,ACH/BATA INDIA LTD. 2018/BP56196                  ,0,16,,
,83,02/08/2018,02/08/2018,-,ACH/EIH Ltd./45336                                ,0,13.5,,
,85,03/08/2018,03/08/2018,-,CMS/BLUEDART/FINAL DIV 2017-18                    ,0,12.5,,
,86,03/08/2018,03/08/2018,-,ACH/EXIDE INDUSTRIES LIM/105374                   ,0,4,,
,87,03/08/2018,03/08/2018,-,ACH/EMAMI LTD/22976                               ,0,14,,
,88,03/08/2018,03/08/2018,-,ACH/APOLLO TYRES LTD/0069417                      ,0,27,,
,89,03/08/2018,03/08/2018,-,ACH/COROMANDEL INTERNATI/2348480                  ,0,17.5,,
,90,03/08/2018,03/08/2018,-,ACH/Mahindra Logistics L/52590                    ,0,3,,
,91,03/08/2018,03/08/2018,-,ACH/MAHINDRA HOLIDAYS &/925314                    ,0,24,,
,92,04/08/2018,04/08/2018,-,ACH/BSE LIMITED/2034457                           ,0,93,,
,93,06/08/2018,06/08/2018,-,ACH/UFLEX LIMITED/UF25071825500                   ,0,8,,
,94,07/08/2018,07/08/2018,-,ACH/CRISIL LIMITED/5219579                        ,0,12,,
,95,07/08/2018,07/08/2018,-,ACH/The New India Assura/86027                    ,0,10,,
,96,08/08/2018,08/08/2018,-,ACH/AVANTI FEEDS LIMITED/2061534                  ,0,36,,
,97,08/08/2018,08/08/2018,-,ACH/TTK PRESTIGE LIMITED/1820342                  ,0,30,,
,98,08/08/2018,08/08/2018,-,ACH/Tech Mahindra Limite/389233                   ,0,84,,
,99,08/08/2018,08/08/2018,-,ACH/BRITANNIA INDUSTRIES/1272839                  ,0,50,,
,100,08/08/2018,08/08/2018,-,ACH/MAHINDRA & MAHINDRA/10704224                  ,0,30,,
,101,09/08/2018,09/08/2018,-,"ACH/Blue Star Limited,/39625                      ",0,10,,
,102,10/08/2018,10/08/2018,-,ACH/WONDERLA HOLIDAYS LI/914089                   ,0,4.5,,
,103,10/08/2018,10/08/2018,-,ACH/TITAN FINDIV 17-18/WA00143847IN30267934786175 ,0,22.5,,
,104,10/08/2018,10/08/2018,-,ACH/CARBORUNDUM UNIVERSA/2519554                  ,0,5,,
,105,13/08/2018,13/08/2018,-,CMS/ADANI PORTS/EQUITY DIV 17-18                  ,0,12,,
,106,13/08/2018,13/08/2018,-,ACH/EVEREADY INDUSTRIES/28995                     ,0,9,,
,107,13/08/2018,13/08/2018,-,ACH/VST FIN DIV 2017-18/IN30267934786175          ,0,50,,
,108,13/08/2018,13/08/2018,-,ACH/Asahi India Glass Li/47677                    ,0,10.5,,
,109,13/08/2018,13/08/2018,-,ACH/Adani Enterprises Li/62638                    ,0,6.8,,
,110,13/08/2018,13/08/2018,-,ACH/BASFDIV130818/B900038528IN30267934786175      ,0,6,,
,111,13/08/2018,13/08/2018,-,ACH/Lupin Limited/288937                          ,0,30,,
,112,13/08/2018,13/08/2018,-,ACH/BHARTI AIRTEL LTD/5641674                     ,0,67.5,,
,113,14/08/2018,14/08/2018,-,ACH/TRENT 14082018/LA00040009IN30267934786175     ,0,8.05,,
,114,14/08/2018,14/08/2018,-,ACH/INTERGLOBE AVIATION/760596                    ,0,12,,
,115,14/08/2018,14/08/2018,-,"ACH/Sobha Limited,/49287                          ",0,42,,
,116,14/08/2018,14/08/2018,-,ACH/HCL TECHNOLOGIES LIM/0000000000000000000000001,0,14,,
,117,14/08/2018,14/08/2018,-,ACH/Sanofi India Limited/18995                    ,0,18,,
,118,14/08/2018,14/08/2018,-,ACH/GODREJ AGROVET LTD/190594                     ,0,9,,
,119,16/08/2018,16/08/2018,-,ACH/Johnson Controls-Hit/12385                    ,0,1.5,,
,120,16/08/2018,16/08/2018,-,ACH/Eicher Motors Limite/92874                    ,0,110,,
,121,16/08/2018,16/08/2018,-,ACH/EID PARRY (INDIA)/3038712                     ,0,18,,
,122,16/08/2018,16/08/2018,-,ACH/DABUR INDIA LIMITED/3810598                   ,0,44,,
,123,16/08/2018,16/08/2018,-,ACH/AKZO NOBEL INDIA LTD/28846                    ,0,44,,
,124,16/08/2018,16/08/2018,-,ACH/GODREJ INDUSTRIES LI/54613                    ,0,3.5,,
,126,17/08/2018,17/08/2018,-,ACH/GLAXO CONSUMER/2140018                        ,0,75,,
,127,17/08/2018,17/08/2018,-,"ACH/ICRA Limited,/12531                           ",0,30,,
,128,17/08/2018,17/08/2018,-,ACH/MRF LIMITED/1100000006907                     ,0,54,,
,129,17/08/2018,17/08/2018,-,ACH/TUBE INVESTMENTS OF/5217141                   ,0,3.5,,
,130,18/08/2018,18/08/2018,-,CMS/CADILA HEALTHCARE/FIN DIV17-18                ,0,17.5,,
,131,20/08/2018,20/08/2018,-,ACH/NCC LIMITED/1691376                           ,0,21,,
,132,20/08/2018,20/08/2018,-,ACH/BERGER PAINTS INDIA/58891                     ,0,14.4,,
,133,20/08/2018,20/08/2018,-,ACH/MOTHERSON SUMI SYSTE/1740080                  ,0,13.5,,
,134,20/08/2018,20/08/2018,-,ACH/INDIABULLS HOUSING/3950520                    ,0,10,,
,135,21/08/2018,21/08/2018,-,ACH/Castrol India Limite/168676                   ,0,27,,
,136,21/08/2018,21/08/2018,-,ACH/PI INDUSTRIES LTD/1629701                     ,0,2.5,,
,137,21/08/2018,21/08/2018,-,ACH/LICHOUSINGFINANCELTD/War184755IN30267934786175,0,20,,
,138,21/08/2018,21/08/2018,-,ACH/GODREJ CONSUMER PROD/62283                    ,0,4,,
,139,23/08/2018,23/08/2018,-,ACH/All Cargo Logistics/50029                     ,0,10,,
,140,24/08/2018,24/08/2018,-,CMS/CENTRAL DEPOSITORY/DIV 2018                   ,0,24.5,,
,141,24/08/2018,24/08/2018,-,ACH/NESTLE INDIA LTD./0000000000000000000000000624,0,20,,
,142,24/08/2018,24/08/2018,-,ACH/Larsen & Toubro Info/103695                   ,0,14,,
,143,24/08/2018,24/08/2018,-,ACH/L&T TECHNOLOGY SERV/1468702                   ,0,12,,
,144,24/08/2018,24/08/2018,-,ACH/BALKRISHNAINDUSTRIES/1829445                  ,0,4,,
,145,24/08/2018,24/08/2018,-,ACH/BRIGADE ENTERPRISES/1342054                   ,0,18,,
,146,24/08/2018,24/08/2018,-,ACH/HONEYWELLDIV240818/HO000042191208160005654412 ,0,32,,
,148,27/08/2018,27/08/2018,-,ACH/BAYER DIV 270818/B100042207IN30267934786175   ,0,18,,
,149,27/08/2018,27/08/2018,-,ACH/LARSEN & TOUBRO LTD/7283510                   ,0,112,,
,150,28/08/2018,28/08/2018,-,CMS/NLC INDIA LTD/FINAL DIV 2018                  ,0,3.24,,
,151,28/08/2018,28/08/2018,-,"ACH/UPL Limited,/101227                           ",0,56,,
,152,28/08/2018,28/08/2018,-,ACH/JK TYRE AND INDUSTRI/0000000000000000000000000,0,21,,
,153,28/08/2018,28/08/2018,-,ACH/AMR FIN DIV 2018/WN029830 CL IN30267934786175 ,0,6.45,,
,154,28/08/2018,28/08/2018,-,ACH/MARUTI SUZUKI INDIA/2844248                   ,0,80,,
,155,29/08/2018,29/08/2018,-,ACH/Future Supply Chain/32213                     ,0,2,,
,156,29/08/2018,29/08/2018,-,ACH/Page Industries Limi/42878                    ,0,41,,
,157,29/08/2018,29/08/2018,-,ACH/BOSCH FINDIV 2017-18/1208160005654412         ,0,100,,
,158,29/08/2018,29/08/2018,-,ACH/Monsanto India Limit/15567                    ,0,30,,
,159,30/08/2018,30/08/2018,-,CMS/DR LAL PATHLABS/FINAL DIV17-18                ,0,6,,
,160,30/08/2018,30/08/2018,-,ACH/Aegis Logistics Limi/49937                    ,0,3,,
,161,31/08/2018,31/08/2018,-,ACH/L&T Finance Holdings/397407                   ,0,6,,
,162,31/08/2018,31/08/2018,-,ACH/VOLTAS FIN DIV1718/VO00105693IN30267934786175 ,0,16,,
,163,31/08/2018,31/08/2018,-,ACH/GREENPLY INDUSTRIES/IN30267934786175014882    ,0,3,,
,164,31/08/2018,31/08/2018,-,ACH/KRBL LIMITED/12022                            ,0,11.5,,
,165,01/09/2018,01/09/2018,-,ACH/Greenlam Industries/4841                      ,0,5,,
,166,01/09/2018,01/09/2018,-,ACH/Future Lifestyle Fas/32300                    ,0,7.2,,
,168,03/09/2018,03/09/2018,-,ACH/PIDILITE FNDIV 18/PL00087136IN30267934786175  ,0,18,,
,169,03/09/2018,03/09/2018,-,ACH/Hindustan Petroleum/195474                    ,0,15,,
,170,04/09/2018,04/09/2018,-,ACH/INDIAN OIL CORPN/5869928                      ,0,24,,
,171,04/09/2018,04/09/2018,-,"ACH/Arvind Limited,/178508                        ",0,14.4,,
,172,04/09/2018,04/09/2018,-,ACH/MFL INTDIV Q2 FY1819/192091971                ,0,5.5,,
,173,05/09/2018,05/09/2018,-,ACH/CIPLA LIMITED/4247891                         ,0,12,,
,174,05/09/2018,05/09/2018,-,ACH/CERA SANITARYWARE LI/0000000000000000000000000,0,12,,
,175,05/09/2018,05/09/2018,-,ACH/SOMANY CERAMICS LTD./4734                     ,0,2.7,,
,176,07/09/2018,07/09/2018,-,CMS/ICICI SECURITIES/FIN DIV17-18                 ,0,15.6,,
,177,07/09/2018,07/09/2018,-,ACH/Cummins India Limite/64494                    ,0,30,,
,178,10/09/2018,10/09/2018,-,ACH/MCX OF INDIA LTD/2417879                      ,0,17,,
,179,10/09/2018,10/09/2018,-,ACH/GENERAL INSURANCE CO/1230013                  ,0,27,,
,180,10/09/2018,10/09/2018,-,ACH/CARE RATINGS LIMITED/3038926                  ,0,12,,
,181,11/09/2018,11/09/2018,-,APBS/BLPGCM53609DT0809/834387660                  ,0,317.16,,
,182,11/09/2018,11/09/2018,-,ACH/PFIZER LIMITED/2464271                        ,0,20,,
,183,11/09/2018,11/09/2018,-,ACH/KAJARIA CERAMICS LIM/0000000000000000000000000,0,9,,
,184,12/09/2018,12/09/2018,-,ACH/HSIL LTD./17128                               ,0,24,,
,185,12/09/2018,12/09/2018,-,CMS/ICICI BANK/23RD DIVIDEND FY18                 ,0,24,,
,186,17/09/2018,17/09/2018,-,ACH/GRASIM INDUSTRIES/1802725                     ,0,6.2,,
,188,19/09/2018,19/09/2018,-,ACH/PETRONET LNG LIMITED/5844972                  ,0,40.5,,
,189,21/09/2018,21/09/2018,-,ACH/BHARAT PETROLEUM COR/BPCLIN30267934786175     ,0,35,,
,190,24/09/2018,24/09/2018,-,ACH/CHAMBAL FERTILISERS/IN30267934786175          ,0,13.3,,
,191,24/09/2018,24/09/2018,-,ACH/NATIONAL ALUMINIUM C/1695450                  ,0,34,,
,192,25/09/2018,25/09/2018,-,ACH/HINDALCO INDUSTRIES/IN30267934786175-         ,0,16.8,,
,193,25/09/2018,25/09/2018,-,ACH/Whirlpool Of India L/41081                    ,0,8,,
,194,25/09/2018,25/09/2018,-,ACH/ENGINEERS INDIA LTD/3957121                   ,0,25.5,,
,195,25/09/2018,25/09/2018,-,ACH/Asian Granito India/23392                     ,0,2.6,,
,196,26/09/2018,26/09/2018,-,APBS/BLPGCM59238DT2509/848292085                  ,0,317.16,,
,197,26/09/2018,26/09/2018,-,ACH/POWER GRID CORPORATI/24472613                 ,0,81.2,,
,198,26/09/2018,26/09/2018,-,ACH/Prestige Estates Pro/11881                    ,0,10.8,,
,200,29/09/2018,29/09/2018,-,ACH/GAIL (INDIA) LTD./0000000000000000000000001064,0,8.64,,
,201,29/09/2018,29/09/2018,-,ACH/RELAXO FOOTWEARS LTD/1611665                  ,0,6,,
,202,29/09/2018,29/09/2018,-,ACH/BHARAT DYNAMICS LIMI/0000000000000000000000001,0,21.87,,
,203,29/09/2018,29/09/2018,-,ACH/CENTURY PLYBOARDS (I/19176                    ,0,7,,
,204,01/10/2018,01/10/2018,-,ACH/NTPC LIMITED/000000000000000000000000482299   ,0,100.38,,
,205,01/10/2018,01/10/2018,-,ACH/Sun Pharmaceutical I/503852                   ,0,30,,
,206,01/10/2018,01/10/2018,-,ACH/Godfrey Phillips Ind/19051                    ,0,16,,
,207,01/10/2018,01/10/2018,-,ACH/Jubliant Foodworks L/45149                    ,0,10,,
,209,03/10/2018,03/10/2018,-,ACH/INDRAPRASTHA GAS LIM/1693038                  ,0,8,,
,210,03/10/2018,03/10/2018,-,ACH/GLENMARK PHARMA/2098129                       ,0,8,,
,211,03/10/2018,03/10/2018,-,"ACH/Puravankara Limited,/29416                    ",0,36.8,,
,212,03/10/2018,03/10/2018,-,ACH/DLF LIMITED/10036353                          ,0,8,,
,213,03/10/2018,03/10/2018,-,ACH/Talwalkars Lifestyle/18881                    ,0,11,,
,214,03/10/2018,03/10/2018,-,"ACH/Zee Learn Ltd,/96030                          ",0,4.7,,
,215,04/10/2018,04/10/2018,-,ACH/APOLLO HOSPITALS ENT/IN30267934786175         ,0,30,,
,216,05/10/2018,05/10/2018,-,ACH/OIL INDIA LIMITED/5792455                     ,0,10,,
,217,05/10/2018,05/10/2018,-,ACH/CONTAINER CORPORATIO/CN13091836351            ,0,15,,
,218,05/10/2018,05/10/2018,-,ACH/PVR LIMITED/1429120                           ,0,4,,
,219,05/10/2018,05/10/2018,-,ACH/OIL AND NATURAL GAS/00000000000000000000000055,0,34,,
,220,08/10/2018,08/10/2018,-,ACH/VENKY'S INDIA LTD/WHL/FIN/2018/N27982         ,0,8,,
,221,10/10/2018,10/10/2018,-,ACH/JAIN IRRIGATION SYST/163470                   ,0,10,,
,222,10/10/2018,10/10/2018,-,ACH/BHEL/10343335                                 ,0,28,,
,223,10/10/2018,10/10/2018,-,ACH/UBL FIN DIV 2017-18/IN30267934786175          ,0,4,,
,224,11/10/2018,11/10/2018,-,ACH/NBCC (INDIA) LIMITED/NBC/FIN/2018/152440      ,0,11.2,,
,225,11/10/2018,11/10/2018,-,ACH/Talwalkars Better Va/22445                    ,0,4,,
,226,11/10/2018,11/10/2018,-,ACH/TCOOK FINDIV111018/CK00054257IN30267934786175 ,0,3.75,,
,227,12/10/2018,12/10/2018,-,ACH/RAJESH EXPO DIV18/19616                       ,0,4,,
,228,15/10/2018,15/10/2018,-,ACH/RURAL ELETRIFICATION/6779926                  ,0,21,,
,229,15/10/2018,15/10/2018,-,ACH/VST INDUSTRIES LTD/1612458                    ,0,77.5,,
,230,17/10/2018,17/10/2018,-,APBS/BLPGCM67354DT1610/866916585                  ,0,373.27,,
,231,22/10/2018,22/10/2018,-,ACH/NHPC LIMITED/14557582                         ,0,11.2,,
,232,23/10/2018,23/10/2018,-,ACH/CARE RATINGS LIMITED/3139430                  ,0,74,,
,233,24/10/2018,24/10/2018,-,ACH/BEL FIN DIV 2017-18/IN30267934786175          ,0,5.2,,
,234,26/10/2018,26/10/2018,-,ACH/PC JEWELLER LIMITED/838812                    ,0,7,,
,236,30/10/2018,30/10/2018,-,ACH/TCS2NDINTDIV301018/C200622272IN30267934786175 ,0,64,,
,237,31/10/2018,31/10/2018,-,ACH/INDIABULLS HOUSING/4073619                    ,0,10,,
,238,01/11/2018,01/11/2018,-,ACH/HINDUSTAN UNILEVER/15670703                   ,0,63,,
,239,01/11/2018,01/11/2018,-,ACH/APL INT DIV 011118/AN00182610IN30267934786175 ,0,22.8,,
,240,02/11/2018,02/11/2018,-,CMS/ICICI LOMBARD/1ST INTERIM DIV 18-19           ,0,10,,
,242,03/11/2018,03/11/2018,-,ACH/TVS MOTOR COMPANY L/N17060541633              ,0,13,,
,243,06/11/2018,06/11/2018,-,ACH/Larsen & Toubro Info/109021                   ,0,13,,
,246,09/11/2018,09/11/2018,-,ACH/HCL TECHNOLOGIES LIM/0000000000000000000000001,0,14,,
,248,09/11/2018,09/11/2018,-,ACH/BHARTI AIRTEL LTD/5840206                     ,0,67.5,,
,250,12/11/2018,12/11/2018,-,CMS/ICICI SECURITIES/1ST INTERIM 18-19            ,0,14.8,,
,251,12/11/2018,12/11/2018,-,ACH/L&T TECHNOLOGY SERVI/1571910                  ,0,7.5,,
,252,12/11/2018,12/11/2018,-,ACH/Dish TV India Limite/130604                   ,0,14,,
,253,12/11/2018,12/11/2018,-,ACH/CRISIL LIMITED/5321170                        ,0,14,,
,254,12/11/2018,12/11/2018,-,ACH/SUPREME INDUSTRIES L/SU2/INT/2019/N28871      ,0,8,,
,255,14/11/2018,14/11/2018,-,"ACH/Nilkamal Limited,/20401                       ",0,8,,
,256,16/11/2018,16/11/2018,-,CMS/STFC/INTERIM DIVIDEND 2018-19                 ,0,5,,
,257,16/11/2018,16/11/2018,-,CMS/ICICI PRU/1ST INTERIM DIV18-19 3466838        ,0,9.6,,
,258,16/11/2018,16/11/2018,-,ACH/COX & KINGS LIMITED/920949                    ,0,8,,
,259,17/11/2018,17/11/2018,-,ACH/BALKRISHNAINDUSTRIES/1942085                  ,0,4,,
,261,19/11/2018,19/11/2018,-,ACH/Info-Edge India Limi/22591                    ,0,7.5,,
,262,19/11/2018,19/11/2018,-,ACH/HCIL INT DIV 2018-19/IN30267934786175         ,0,8,,
,263,20/11/2018,20/11/2018,-,ACH/PI INDUSTRIES LTD/1731348                     ,0,2.5,,
,264,20/11/2018,20/11/2018,-,ACH/DCM SHRIRAM LIMITED/00000000000000000000000001,0,12,,
,265,20/11/2018,20/11/2018,-,ACH/EXIDE INDUSTRIES LIM/116464                   ,0,8,,
,266,22/11/2018,22/11/2018,-,ACH/VEDANTA LIMITED/8925203                       ,0,340,,
,267,22/11/2018,22/11/2018,-,ACH/DABUR INDIA LIMITED/4031319                   ,0,9,,
,268,22/11/2018,22/11/2018,-,ACH/Colgate-Palmolive (I/163324                   ,0,16,,
,269,22/11/2018,22/11/2018,-,ACH/VRL LOGISTICS LTD/325914                      ,0,21,,
,270,22/11/2018,22/11/2018,-,ACH/Monsanto India Limit/14841                    ,0,50,,
,271,23/11/2018,23/11/2018,-,ACH/CARE RATINGS LIMITED/3237361                  ,0,12,,
,273,26/11/2018,26/11/2018,-,ACH/PETRONET LNG LIMITED/6245465                  ,0,49.5,,
,275,27/11/2018,27/11/2018,-,ACH/GODREJ CONSUMER PROD/53233                    ,0,12,,
,276,27/11/2018,27/11/2018,-,ACH/Page Industries Limi/50256                    ,0,151,,
,277,28/11/2018,28/11/2018,-,ACH/MRF LIMITED/3000000009727                     ,0,3,,
,278,29/11/2018,29/11/2018,-,APBS/BLPGCM83379DT2811/903555445                  ,0,433.18,,
,279,29/11/2018,29/11/2018,-,"ACH/Marico Limited,/67725                         ",0,14,,
,280,30/11/2018,30/11/2018,-,ACH/AMR INT1 DIV 2019/WN030513 CL IN30267934786175,0,6,,
,281,30/11/2018,30/11/2018,-,ACH/Dr. Lal PathLabs Lim/38846                    ,0,5,,
,282,30/11/2018,30/11/2018,-,ACH/AUROBINDO PHARMA LIM/4940849                  ,0,3.75,,
,284,03/12/2018,03/12/2018,-,ACH/MFL INTDIV Q3 FY1819/193094305                ,0,5.5,,
,285,04/12/2018,04/12/2018,-,ACH/KAVERI SEED COMPANY/KV1/INT/2019/N15859       ,0,6,,
,286,11/12/2018,11/12/2018,-,ACH/Procter & Gamble Hyg/30283                    ,0,40,,
,287,12/12/2018,12/12/2018,-,ACH/GILLETTE INDIA LIMIT/IN30267934786175         ,0,23,,
,288,15/12/2018,15/12/2018,-,ACH/BSE LIMITED/2238495                           ,0,25,,
,289,21/12/2018,21/12/2018,-,ACH/NESTLE INDIA LTD./0000000000000000000000000744,0,50,,
,290,28/12/2018,28/12/2018,-,ACH/INDIAN OIL CORPN LTD/6458144                  ,0,81,,
,292,01/01/2019,01/01/2019,-,APBS/BLPGCM95603DT3112/933377717                  ,0,306.22,,
,294,05/01/2019,05/01/2019,-,ACH/COAL INDIA LTD/000000000000000000000000546883 ,0,225,,
,295,09/01/2019,09/01/2019,-,Peter England CB Oct Nov-18                       ,0,509.6,,
,297,24/01/2019,24/01/2019,-,ACH/TCS3RDINTDIV240119/C200662305IN30267934786175 ,0,68,,
,298,27/01/2019,28/01/2019,-,ATM/S1CNQ367/CASH WDL RVSL/27-01-19               ,0,5000,,
,302,05/02/2019,05/02/2019,-,ACH/WIPRO LIMITED/8708563                         ,0,25,,
,303,05/02/2019,05/02/2019,-,ACH/HAT INT DIV 2019/IN30267934786175             ,0,4,,
