comp_name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ABB,-,-,-,-,8,-,-,-,-,-,-,-,8
ABBOTT,-,-,-,-,-,-,55,-,-,-,-,-,55
ACCLTD,-,-,42,-,-,30,-,-,-,-,-,-,72
ADANI ENTERPRISES,-,-,-,-,-,-,-,6,-,-,-,-,6
ADANI PORTS,-,-,-,-,-,-,-,12,-,-,-,-,12
AEGIS LOGISTICS,-,-,-,-,-,-,-,3,-,-,-,-,3
AKZO NOBEL,-,-,-,-,-,-,-,44,-,-,-,-,44
ALL CARGO LOGISTICS,-,52,-,-,-,-,-,10,-,-,-,-,62
AMBUJA CEMENTS,-,-,-,-,-,18,-,-,-,-,-,-,18
AMR,-,-,-,-,-,-,-,6,-,-,6,-,12
APL,-,-,-,-,-,-,-,-,-,-,22,-,22
APOLLO HOSPITALS ENT,-,-,-,-,-,-,-,-,-,30,-,-,30
APOLLO TYRES,-,-,-,-,-,-,-,27,-,-,-,-,27
ARVIND,-,-,-,-,-,-,-,-,14,-,-,-,14
ASAHI GLASS,-,-,-,-,-,-,-,10,-,-,-,-,10
ASIAN GRANITO ,-,-,-,-,-,-,-,-,2,-,-,-,2
ASIANPAINT,-,-,-,-,-,48,-,-,-,-,-,-,48
AUROBINDO PHARMA,-,3,-,-,-,-,-,-,-,-,3,-,6
AVANTI FEEDS,-,-,-,-,-,-,-,36,-,-,-,-,36
BAJAJ AUTO,-,-,-,-,-,-,120,-,-,-,-,-,120
BAJAJ FINSERV,-,-,-,-,-,-,2,-,-,-,-,-,2
BALKRISHNAINDUSTRIES,-,6,-,-,-,-,3,4,-,-,4,-,17
BALRAMPURCHINIMILLS,-,45,-,-,-,-,-,-,-,-,-,-,45
BASF,-,-,-,-,-,-,-,6,-,-,-,-,6
BATA,-,-,-,-,-,-,-,16,-,-,-,-,16
BAYER,-,-,-,-,-,-,-,18,-,-,-,-,18
BEL,-,3,9,-,-,-,-,-,-,5,-,-,17
BERGER PAINTS ,-,-,-,-,-,-,-,14,-,-,-,-,14
BHARAT DYNAMICS,-,-,-,-,-,-,-,-,21,-,-,-,21
BHARAT PETROLEUM,-,-,88,-,-,-,-,-,35,-,-,-,123
BHARTI,-,-,-,-,-,-,42,-,-,-,22,-,64
BHARTI AIRTEL,-,-,-,-,-,-,-,67,-,-,67,-,134
BHEL,-,33,-,-,-,-,-,-,-,28,-,-,61
BLUE STAR,-,-,-,-,-,-,-,10,-,-,-,-,10
BLUEDART,-,-,-,-,-,-,-,12,-,-,-,-,12
BOSCH,-,-,-,-,-,-,-,100,-,-,-,-,100
BRIGADE ENTERPRISES,-,-,-,-,-,-,-,18,-,-,-,-,18
BRITANNIA,-,-,-,-,-,-,-,50,-,-,-,-,50
BSE,-,-,-,-,-,-,-,93,-,-,-,25,118
CADILA HEALTHCARE,-,-,-,-,-,-,-,17,-,-,-,-,17
CARBORUNDUM UNIVERSA,-,10,-,-,-,-,-,5,-,-,-,-,15
CARE RATINGS,-,-,12,-,-,-,-,-,12,74,12,-,110
CASTROL,-,-,-,-,30,-,-,27,-,-,-,-,57
CEAT,-,-,-,-,-,-,23,-,-,-,-,-,23
CENTRAL DEPOSITORY,-,-,-,-,-,-,-,24,-,-,-,-,24
CENTURY PLYBOARDS,-,-,-,-,-,-,-,-,7,-,-,-,7
CERA SANITARYWARE,-,-,-,-,-,-,-,-,12,-,-,-,12
CHAMBAL FERTILISERS,-,-,-,-,-,-,-,-,13,-,-,-,13
CHOLAMANDALAM,-,4,-,-,-,-,-,-,-,-,-,-,4
CIPLA,-,-,-,-,-,-,-,-,12,-,-,-,12
COAL,225,-,181,-,-,-,-,-,-,-,-,-,406
COLGATEPALMOLIVE,-,-,-,5,-,22,-,-,-,-,16,-,43
CONTAINER,-,-,-,-,-,-,-,-,-,15,-,-,15
COROMANDEL,-,21,-,15,-,-,-,17,-,-,-,-,53
COX & KINGS,-,-,-,-,-,-,-,-,-,-,8,-,8
CRISIL,-,-,-,10,12,-,-,12,-,-,14,-,48
CROMPTON GREAVES,-,-,-,-,-,-,7,-,-,-,-,-,7
CUMMINS,-,-,28,-,-,-,-,-,30,-,-,-,58
DABUR,-,-,-,-,-,-,-,44,-,-,9,-,53
DCM SHRIRAM,-,12,-,-,-,-,-,-,-,-,12,-,24
DISH TV,-,-,-,-,-,-,-,-,-,-,14,-,14
DLF,-,-,-,-,-,-,-,-,-,8,-,-,8
DR LAL PATHLABS,-,-,-,-,-,-,-,6,-,-,5,-,11
DR REDDY'S LABORATO,-,-,-,-,-,-,-,40,-,-,-,-,40
EICHER MOTORS,-,-,-,-,-,-,-,110,-,-,-,-,110
EID PARRY,-,22,-,-,-,-,-,18,-,-,-,-,40
EIH,-,-,-,-,-,-,-,13,-,-,-,-,13
EMAMI,-,-,-,-,-,-,-,14,-,-,-,-,14
ENGINEERS,-,55,-,-,-,-,-,-,25,-,-,-,80
EVEREADY,-,-,-,-,-,-,-,9,-,-,-,-,9
EXIDE,-,-,-,-,-,-,-,4,-,-,8,-,12
FUTURE LIFESTYLE FAS,-,-,-,-,-,-,-,-,7,-,-,-,7
FUTURE SUPPLY CHAIN,-,-,-,-,-,-,-,2,-,-,-,-,2
GAIL,-,37,-,-,221,-,-,-,8,-,-,-,266
GENERAL,-,-,-,-,-,-,-,-,27,-,-,-,27
GILLETTE,-,-,19,-,-,-,-,-,-,-,-,23,42
GLAXO CONSUMER,-,-,-,-,-,-,-,75,-,-,-,-,75
GLENMARK PHARMA,-,-,-,-,-,-,-,-,-,8,-,-,8
GODFREY PHILLIPS,-,-,-,-,-,-,-,-,-,16,-,-,16
GODREJ,-,-,-,-,-,-,-,3,-,-,-,-,3
GODREJ AGROVET,-,-,-,-,-,-,-,9,-,-,-,-,9
GODREJ CONSUMER PROD,-,6,-,-,7,-,-,4,-,-,12,-,29
GRASIM,-,-,-,-,-,-,-,-,6,-,-,-,6
GREENLAM,-,-,-,-,-,-,-,-,5,-,-,-,5
GREENPLY,-,-,-,-,-,-,-,3,-,-,-,-,3
GRINDWELL,-,-,-,-,-,-,15,-,-,-,-,-,15
HAT,-,4,-,-,-,-,-,-,-,-,-,-,4
HAVELLS,-,-,-,-,-,-,20,-,-,-,-,-,20
HCIL,-,-,-,-,-,-,-,-,-,-,8,-,8
HCL TECHNOLOGIES,-,14,-,-,12,-,-,14,-,-,14,-,54
HDFC,-,-,31,-,-,-,132,-,-,-,-,-,163
HDFC BANK,-,-,-,-,-,-,234,-,-,-,-,-,234
HDFC LIFE,-,-,9,-,-,-,-,-,-,-,-,-,9
HDFCASSET MANAGEMENT,-,-,156,-,-,-,-,-,-,-,-,-,156
HERO MOTOCORP,-,110,-,-,-,-,80,-,-,-,-,-,190
HINDALCO,-,-,-,-,-,-,-,-,16,-,-,-,16
HINDUSTAN PETROLEUM,-,78,-,-,-,-,-,-,15,-,-,-,93
HINDUSTAN UNILEVER,-,-,-,-,-,-,84,-,-,-,63,-,147
HINDUSTAN ZINC,-,-,-,48,-,-,-,-,-,-,-,-,48
HONEYWELL,-,-,-,-,-,-,-,32,-,-,-,-,32
HSIL,-,-,-,-,-,-,-,-,24,-,-,-,24
HUDCO,-,-,21,-,-,-,-,-,-,-,-,-,21
ICICI BANK,-,-,-,-,-,-,-,-,24,-,-,-,24
ICICI LOMBARD,-,-,-,-,-,-,10,-,-,-,10,-,20
ICICI PRU,-,-,-,-,-,-,19,-,-,-,9,-,28
ICICI SECURITIES,-,-,-,-,-,-,-,-,15,-,14,-,29
ICRA,-,-,-,-,-,-,-,30,-,-,-,-,30
IIFL HOLDINGS,-,10,-,-,-,-,-,-,-,-,-,-,10
INDIABULLS HOUSING,-,20,-,-,10,-,-,10,-,10,-,-,50
INDIAN OIL,-,-,30,-,-,-,-,-,24,-,-,81,135
INDRAPRASTHA GAS,-,-,-,-,-,-,-,-,-,8,-,-,8
INFOEDGE,-,4,-,-,-,-,4,-,-,-,7,-,15
INFOSYS,96,-,-,-,-,335,-,-,-,168,-,-,599
INTERGLOBE AVIATION,-,-,-,-,-,-,-,12,-,-,-,-,12
ITC,-,-,-,-,-,-,206,-,-,-,-,-,206
JAIN IRRIGATION SYST,-,-,-,-,-,-,-,-,-,10,-,-,10
JK TYRE AND,-,-,-,-,-,-,-,21,-,-,-,-,21
JOHNSON CONTROLSHIT,-,-,-,-,-,-,-,1,-,-,-,-,1
