comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
National aluminium co,INE139A01034,111,4,107,96,09-Nov-2018,176,Buy,Mid Cap,52,95,82 %,76,0,6,10,7,5,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Nlc,INE589A01014,111,2,109,98,26-Oct-2018,190,Buy,Mid Cap,65,169,160 %,102,1,15,17,9,7,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Bharat electronics,INE263A01024,111,8,103,93,18-Apr-2019,16,Buy,Large Cap,88,110,25 %,33,0,17,24,11,10,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Pc jeweller,INE785M01013,111,4,107,96,09-Oct-2018,207,Buy,Mid Cap,110,200,81 %,8,0,17,25,19,14,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Ashok leyland,INE208A01029,111,1,110,99,29-Oct-2018,187,Buy,Large Cap,90,377,318 %,50,0,22,25,16,57,0,7, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Eveready industries,INE128A01029,111,3,108,97,09-Nov-2018,176,Buy,Micro Cap,109,230,111 %,14,1,22,22,7,56,0,50, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Tata elxsi,INE670A01012,111,3,108,97,29-Oct-2018,187,Buy,Small Cap,874,1158,32 %,28,0,39,60,18,51,0,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Hero motocorp,INE158A01026,111,7,104,94,03-Jul-2018,305,Buy,Large Cap,2565,3801,48 %,49,0,35,49,6,13,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Nhpc,INE848E01016,111,2,109,98,09-Nov-2018,176,Buy,Mid Cap,24,113,370 %,69,1,9,9,6,5,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Kaveri seed company,INE455I01029,111,2,109,98,02-Jan-2019,122,Buy,Small Cap,449,728,62 %,6,0,18,19,2,10,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Bse,INE118H01025,111,4,107,96,08-Oct-2018,208,Buy,Small Cap,634,1970,210 %,52,0,14,16,5,30,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Ambuja cements,INE079A01024,111,3,108,97,02-Jan-2019,122,Buy,Large Cap,222,342,54 %,17,0,8,14,23,14,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Cadila healthcare,INE010B01027,111,2,109,98,03-Jul-2018,305,Buy,Large Cap,304,448,47 %,20,1,27,20,13,22,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Akzo nobel,INE133A01011,111,4,107,96,03-Jul-2018,305,Buy,Small Cap,1666,2511,50 %,73,0,24,31,5,27,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Balrampur chini mills,INE119A01028,111,2,109,98,02-Jan-2019,122,Buy,Micro Cap,157,769,389 %,13,1,26,17,6,6,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Care ratings,INE752H01013,111,3,108,97,01-Feb-2018,457,Buy,Small Cap,984,1543,56 %,75,0,30,44,10,9,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Rallis,INE613A01020,111,2,109,98,04-Apr-2018,395,Buy,Small Cap,146,204,39 %,29,0,16,21,5,8,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Acc,INE012A01025,111,5,106,96,09-Nov-2018,176,Buy,Mid Cap,1634,2527,54 %,40,0,11,14,6,7,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Motherson sumi systems,INE775A01035,111,3,108,97,06-Nov-2018,179,Buy,Large Cap,142,184,29 %,24,1,24,23,17,31,1,4, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Eicher motors,INE066A01013,111,24,87,78,12-Mar-2019,53,Buy,Large Cap,20352,31106,52 %,17,0,36,53,7,45,1,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Castrol,INE172A01027,111,3,108,97,09-Nov-2018,176,Buy,Mid Cap,150,255,70 %,84,0,71,111,4,8,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Glenmark pharmaceuticals,INE935A01035,111,2,109,98,03-Jul-2018,305,Buy,Mid Cap,633,1075,69 %,7,1,23,18,13,5,4,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Zee entertainment enterprises,INE256A01028,111,8,103,93,28-Jan-2019,96,Buy,Large Cap,411,532,29 %,19,0,20,25,13,15,2,66, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Crisil,INE007A01025,111,4,107,96,04-Apr-2018,395,Buy,Mid Cap,1442,2604,80 %,64,0,31,44,10,7,4,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Vrl logistics,INE366I01010,111,2,109,98,01-Feb-2018,457,Buy,Small Cap,265,388,46 %,32,0,18,21,8,15,2,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
Pfizer,INE182A01018,111,3,108,97,19-Sep-2017,592,Buy,Mid Cap,3128,4745,51 %,25,0,13,20,13,12,3,0, Passed as dp3 ge 6 and d2e le 2 and roe3 ge 5 and roce3 ge 4 and sales5 gt 0 and profit5 gt 0 and peg le 4 and pledge le 25and sc_mos ge25 
